35004,,5210
35004,1,1510
35004,2,1410
35004,3,950
35004,4,650
35004,5,630
35004,6,60
,,
35005,,3100
35005,1,1310
35005,2,960
35005,3,450
35005,4,200
35005,5,180
35005,6,**
,,
35006,,1200
35006,1,430
35006,2,330
35006,3,190
35006,4,120
35006,5,130
35006,6,**
,,
35007,,11940
35007,1,4070
35007,2,2650
35007,3,1820
35007,4,1340
35007,5,1820
35007,6,240
,,
35010,,7910
35010,1,3620
35010,2,2070
35010,3,890
35010,4,530
35010,5,620
35010,6,180
,,
35014,,1620
35014,1,660
35014,2,460
35014,3,210
35014,4,140
35014,5,120
35014,6,30
,,
35016,,7130
35016,1,2810
35016,2,1730
35016,3,1060
35016,4,680
35016,5,720
35016,6,130
,,
35019,,890
35019,1,360
35019,2,250
35019,3,140
35019,4,60
35019,5,80
35019,6,**
,,
35020,,9050
35020,1,5450
35020,2,2470
35020,3,720
35020,4,230
35020,5,160
35020,6,20
,,
35022,,9800
35022,1,3240
35022,2,2430
35022,3,1610
35022,4,1020
35022,5,1300
35022,6,200
,,
35023,,10050
35023,1,3690
35023,2,2910
35023,3,1550
35023,4,930
35023,5,900
35023,6,70
,,
35031,,2860
35031,1,1190
35031,2,810
35031,3,430
35031,4,230
35031,5,180
35031,6,20
,,
35033,,1380
35033,1,460
35033,2,380
35033,3,210
35033,4,150
35033,5,140
35033,6,40
,,
35034,,1390
35034,1,700
35034,2,370
35034,3,160
35034,4,80
35034,5,80
35034,6,**
,,
35035,,570
35035,1,230
35035,2,150
35035,3,80
35035,4,50
35035,5,60
35035,6,**
,,
35040,,7590
35040,1,2360
35040,2,2190
35040,3,1410
35040,4,790
35040,5,760
35040,6,80
,,
35042,,2200
35042,1,890
35042,2,570
35042,3,320
35042,4,190
35042,5,210
35042,6,20
,,
35043,,5070
35043,1,1310
35043,2,820
35043,3,690
35043,4,710
35043,5,1270
35043,6,270
,,
35044,,3060
35044,1,1390
35044,2,810
35044,3,390
35044,4,220
35044,5,220
35044,6,30
,,
35045,,5500
35045,1,2340
35045,2,1420
35045,3,750
35045,4,460
35045,5,460
35045,6,70
,,
35046,,2350
35046,1,870
35046,2,590
35046,3,330
35046,4,230
35046,5,290
35046,6,40
,,
35049,,1550
35049,1,520
35049,2,440
35049,3,250
35049,4,180
35049,5,160
35049,6,**
,,
35051,,3290
35051,1,1270
35051,2,740
35051,3,410
35051,4,320
35051,5,430
35051,6,120
,,
35053,,1050
35053,1,340
35053,2,250
35053,3,170
35053,4,110
35053,5,140
35053,6,40
,,
35054,,1820
35054,1,620
35054,2,380
35054,3,260
35054,4,210
35054,5,280
35054,6,70
,,
35055,,7950
35055,1,3150
35055,2,2060
35055,3,1100
35055,4,720
35055,5,740
35055,6,180
,,
35057,,5290
35057,1,2010
35057,2,1360
35057,3,740
35057,4,500
35057,5,560
35057,6,120
,,
35058,,4220
35058,1,1710
35058,2,1080
35058,3,580
35058,4,380
35058,5,380
35058,6,90
,,
35061,,640
35061,1,310
35061,2,180
35061,3,90
35061,4,30
35061,5,30
35061,6,**
,,
35062,,3220
35062,1,1160
35062,2,750
35062,3,520
35062,4,360
35062,5,390
35062,6,40
,,
35063,,1200
35063,1,480
35063,2,350
35063,3,170
35063,4,100
35063,5,100
35063,6,**
,,
35064,,4300
35064,1,2220
35064,2,1230
35064,3,450
35064,4,210
35064,5,190
35064,6,**
,,
35068,,3760
35068,1,1230
35068,2,1160
35068,3,700
35068,4,330
35068,5,310
35068,6,30
,,
35071,,7480
35071,1,2240
35071,2,1820
35071,3,1210
35071,4,850
35071,5,1160
35071,6,200
,,
35072,,1820
35072,1,780
35072,2,570
35072,3,220
35072,4,150
35072,5,100
35072,6,**
,,
35073,,930
35073,1,370
35073,2,310
35073,3,130
35073,4,70
35073,5,50
35073,6,**
,,
35077,,5210
35077,1,2210
35077,2,1480
35077,3,700
35077,4,440
35077,5,350
35077,6,30
,,
35078,,870
35078,1,350
35078,2,230
35078,3,110
35078,4,80
35078,5,100
35078,6,**
,,
35079,,3420
35079,1,1110
35079,2,830
35079,3,650
35079,4,430
35079,5,360
35079,6,40
,,
35080,,7840
35080,1,2120
35080,2,1420
35080,3,1240
35080,4,1060
35080,5,1740
35080,6,260
,,
35083,,1200
35083,1,460
35083,2,340
35083,3,190
35083,4,110
35083,5,100
35083,6,**
,,
35085,,3400
35085,1,1340
35085,2,940
35085,3,510
35085,4,290
35085,5,290
35085,6,30
,,
35087,,840
35087,1,390
35087,2,200
35087,3,120
35087,4,70
35087,5,60
35087,6,**
,,
35089,,750
35089,1,360
35089,2,250
35089,3,90
35089,4,30
35089,5,20
35089,6,**
,,
35091,,1260
35091,1,310
35091,2,220
35091,3,230
35091,4,190
35091,5,290
35091,6,20
,,
35094,,6290
35094,1,2280
35094,2,1590
35094,3,990
35094,4,590
35094,5,700
35094,6,140
,,
35096,,3420
35096,1,1280
35096,2,910
35096,3,520
35096,4,340
35096,5,320
35096,6,50
,,
35097,,770
35097,1,260
35097,2,200
35097,3,150
35097,4,90
35097,5,70
35097,6,**
,,
35098,,560
35098,1,230
35098,2,140
35098,3,70
35098,4,60
35098,5,60
35098,6,**
,,
35111,,6970
35111,1,1970
35111,2,1500
35111,3,1240
35111,4,940
35111,5,1170
35111,6,150
,,
35114,,3070
35114,1,960
35114,2,590
35114,3,450
35114,4,370
35114,5,620
35114,6,80
,,
35115,,5200
35115,1,2320
35115,2,1280
35115,3,700
35115,4,390
35115,5,440
35115,6,70
,,
35116,,2000
35116,1,610
35116,2,480
35116,3,300
35116,4,240
35116,5,320
35116,6,50
,,
35117,,2680
35117,1,720
35117,2,640
35117,3,470
35117,4,340
35117,5,440
35117,6,70
,,
35118,,1350
35118,1,510
35118,2,370
35118,3,200
35118,4,140
35118,5,130
35118,6,**
,,
35120,,6110
35120,1,2070
35120,2,1530
35120,3,1060
35120,4,680
35120,5,700
