99501,,7890
99501,1,2770
99501,2,2080
99501,3,1080
99501,4,600
99501,5,850
99501,6,510
,,
99502,,11740
99502,1,3180
99502,2,2650
99502,3,1780
99502,4,1290
99502,5,2170
99502,6,670
,,
99503,,7780
99503,1,2640
99503,2,2340
99503,3,1160
99503,4,640
99503,5,750
99503,6,250
,,
99504,,19180
99504,1,5900
99504,2,5260
99504,3,3130
99504,4,1930
99504,5,2590
99504,6,370
,,
99505,,2480
99505,1,880
99505,2,1060
99505,3,280
99505,4,140
99505,5,120
99505,6,**
,,
99506,,2930
99506,1,1160
99506,2,1080
99506,3,360
99506,4,190
99506,5,140
99506,6,**
,,
99507,,18630
99507,1,5130
99507,2,4370
99507,3,2900
99507,4,1970
99507,5,3220
99507,6,1040
,,
99508,,15400
99508,1,5690
99508,2,4320
99508,3,2210
99508,4,1190
99508,5,1560
99508,6,430
,,
99515,,10960
99515,1,2850
99515,2,2200
99515,3,1560
99515,4,1170
99515,5,2290
99515,6,890
,,
99516,,9600
99516,1,2350
99516,2,1070
99516,3,830
99516,4,820
99516,5,2670
99516,6,1860
,,
99517,,8140
99517,1,2320
99517,2,2050
99517,3,1270
99517,4,850
99517,5,1100
99517,6,550
,,
99518,,5180
99518,1,1430
99518,2,1320
99518,3,890
99518,4,590
99518,5,790
99518,6,160
,,
99540,,160
99540,1,50
99540,2,30
99540,3,40
99540,4,**
99540,5,40
99540,6,**
,,
99556,,1080
99556,1,410
99556,2,240
99556,3,180
99556,4,100
99556,5,130
99556,6,20
,,
99567,,4170
99567,1,1100
99567,2,730
99567,3,590
99567,4,520
99567,5,980
99567,6,250
,,
99568,,130
99568,1,50
99568,2,30
99568,3,30
99568,4,**
99568,5,20
99568,6,**
,,
99572,,200
99572,1,60
99572,2,50
99572,3,30
99572,4,20
99572,5,40
99572,6,**
,,
99573,,400
99573,1,160
99573,2,70
99573,3,70
99573,4,50
99573,5,50
99573,6,**
,,
99577,,12780
99577,1,2960
99577,2,2260
99577,3,1820
99577,4,1590
99577,5,3210
99577,6,940
,,
99586,,210
99586,1,90
99586,2,50
99586,3,30
99586,4,40
99586,5,**
99586,6,**
,,
99588,,650
99588,1,220
99588,2,150
99588,3,100
99588,4,80
99588,5,80
99588,6,20
,,
99603,,5380
99603,1,1960
99603,2,1180
99603,3,770
99603,4,510
99603,5,760
99603,6,200
,,
99605,,100
99605,1,40
99605,2,30
99605,3,30
99605,4,**
99605,5,**
99605,6,**
,,
99610,,1110
99610,1,380
99610,2,230
99610,3,170
99610,4,130
99610,5,170
99610,6,30
,,
99611,,6400
99611,1,2140
99611,2,1360
99611,3,870
99611,4,680
99611,5,1100
99611,6,250
,,
99615,,6270
99615,1,2040
99615,2,1640
99615,3,990
99615,4,600
99615,5,830
99615,6,170
,,
99631,,140
99631,1,50
99631,2,30
99631,3,40
99631,4,**
99631,5,20
99631,6,**
,,
99639,,590
99639,1,230
99639,2,120
99639,3,90
99639,4,60
99639,5,90
99639,6,**
,,
99645,,12920
99645,1,3780
99645,2,2480
99645,3,1960
99645,4,1560
99645,5,2590
99645,6,550
,,
99654,,14230
99654,1,4200
99654,2,2890
99654,3,2200
99654,4,1650
99654,5,2720
99654,6,570
,,
99664,,2290
99664,1,780
99664,2,570
99664,3,340
99664,4,240
99664,5,310
99664,6,50
,,
99669,,7670
99669,1,2320
99669,2,1530
99669,3,1080
99669,4,900
99669,5,1430
99669,6,410
,,
99672,,1660
99672,1,490
99672,2,340
99672,3,270
99672,4,180
99672,5,310
99672,6,70
,,
99674,,680
99674,1,250
99674,2,150
99674,3,100
99674,4,90
99674,5,90
99674,6,**
,,
99676,,920
99676,1,380
99676,2,210
99676,3,130
99676,4,80
99676,5,100
99676,6,20
,,
99686,,1980
