19701,,20820
19701,1,5900
19701,2,4600
19701,3,3190
19701,4,2370
19701,5,3940
19701,6,820
,,
19702,,26340
19702,1,8170
19702,2,6760
19702,3,4190
19702,4,2710
19702,5,3750
19702,6,760
,,
19703,,7410
19703,1,2460
19703,2,2060
19703,3,1200
19703,4,790
19703,5,820
19703,6,80
,,
19707,,8400
19707,1,1840
19707,2,980
19707,3,910
19707,4,860
19707,5,2370
19707,6,1440
,,
19709,,20500
19709,1,5580
19709,2,3770
19709,3,2800
19709,4,2180
19709,5,4940
19709,6,1230
,,
19711,,21940
19711,1,6460
19711,2,4440
19711,3,2900
19711,4,2180
19711,5,4260
19711,6,1700
,,
19713,,15240
19713,1,5270
19713,2,4300
19713,3,2490
19713,4,1490
19713,5,1460
19713,6,230
,,
19720,,28420
19720,1,10550
19720,2,8460
19720,3,4240
19720,4,2420
19720,5,2420
19720,6,330
,,
19734,,5790
19734,1,1640
19734,2,1110
19734,3,820
19734,4,760
19734,5,1270
19734,6,190
,,
19736,,130
19736,1,30
19736,2,40
19736,3,0
19736,4,20
19736,5,40
19736,6,0
,,
19801,,6320
19801,1,3380
19801,2,1580
19801,3,590
19801,4,290
19801,5,330
19801,6,150
,,
19802,,11200
19802,1,5160
19802,2,3140
19802,3,1370
19802,4,670
19802,5,710
19802,6,150
,,
19803,,11040
19803,1,2430
19803,2,1570
19803,3,1450
19803,4,1230
19803,5,2840
19803,6,1520
,,
19804,,9340
19804,1,3420
19804,2,2680
19804,3,1580
19804,4,820
19804,5,790
19804,6,50
,,
19805,,17900
19805,1,7870
19805,2,5440
19805,3,2310
19805,4,1060
19805,5,1030
19805,6,190
,,
19806,,4910
19806,1,1120
19806,2,1020
19806,3,870
19806,4,540
19806,5,800
19806,6,560
,,
19807,,4230
19807,1,840
19807,2,440
19807,3,390
19807,4,320
19807,5,740
19807,6,1500
,,
19808,,19920
19808,1,5710
19808,2,4390
19808,3,3140
19808,4,2220
19808,5,3610
19808,6,850
,,
19809,,7380
19809,1,2210
19809,2,1710
19809,3,1280
19809,4,810
19809,5,1140
19809,6,230
,,
19810,,12790
19810,1,3370
19810,2,2260
19810,3,1730
19810,4,1410
