30002,,3100
30002,1,930
30002,2,650
30002,3,380
30002,4,270
30002,5,590
30002,6,280
,,
30004,,27440
30004,1,6840
30004,2,3890
30004,3,3130
30004,4,2560
30004,5,5950
30004,6,5070
,,
30005,,15790
30005,1,3910
30005,2,1910
30005,3,1550
30005,4,1540
30005,5,4130
30005,6,2750
,,
30008,,12950
30008,1,6300
30008,2,3450
30008,3,1580
30008,4,790
30008,5,750
30008,6,80
,,
30009,,8230
30009,1,2210
30009,2,1350
30009,3,1070
30009,4,860
30009,5,1710
30009,6,1030
,,
30011,,7290
30011,1,2730
30011,2,1910
30011,3,1140
30011,4,660
30011,5,720
30011,6,130
,,
30012,,11430
30012,1,5500
30012,2,3170
30012,3,1380
30012,4,600
30012,5,660
30012,6,120
,,
30013,,12620
30013,1,5440
30013,2,3420
30013,3,1680
30013,4,890
30013,5,1020
30013,6,170
,,
30014,,14920
30014,1,6340
30014,2,3740
30014,3,1890
30014,4,1180
30014,5,1440
30014,6,330
,,
30016,,23580
30016,1,10220
30016,2,6770
30016,3,3520
30016,4,1650
30016,5,1310
30016,6,110
,,
30017,,10560
30017,1,3400
30017,2,2220
30017,3,1500
30017,4,1120
30017,5,1860
30017,6,460
,,
30019,,20570
30019,1,6610
30019,2,3900
30019,3,2860
30019,4,2260
30019,5,3960
30019,6,980
,,
30021,,10930
30021,1,6320
30021,2,3490
30021,3,680
30021,4,220
30021,5,200
30021,6,20
,,
30022,,28990
30022,1,7900
30022,2,4460
30022,3,3190
30022,4,2480
30022,5,6100
30022,6,4860
,,
30024,,33640
30024,1,9610
30024,2,5150
30024,3,3770
30024,4,3130
30024,5,7960
30024,6,4020
,,
30025,,4130
30025,1,1500
30025,2,950
30025,3,590
30025,4,400
30025,5,560
30025,6,130
,,
30028,,11290
30028,1,3350
30028,2,2050
30028,3,1650
30028,4,1320
30028,5,2330
30028,6,590
,,
30030,,13040
30030,1,3160
30030,2,1940
30030,3,1700
30030,4,1270
30030,5,2870
30030,6,2100
,,
30032,,20300
30032,1,11450
30032,2,5410
30032,3,1890
30032,4,800
30032,5,670
30032,6,80
,,
30033,,14030
30033,1,3550
30033,2,2790
30033,3,2160
30033,4,1560
30033,5,2780
30033,6,1190
,,
30034,,20950
30034,1,10560
30034,2,5720
30034,3,2430
30034,4,1160
30034,5,970
30034,6,110
,,
30035,,9910
30035,1,5370
30035,2,2810
30035,3,1000
30035,4,440
30035,5,290
30035,6,**
,,
30038,,18140
30038,1,8410
30038,2,5110
30038,3,2270
30038,4,1070
30038,5,1120
30038,6,160
,,
30039,,21820
30039,1,8880
30039,2,5910
30039,3,3070
30039,4,1760
30039,5,1950
30039,6,250
,,
30040,,30360
30040,1,8260
30040,2,4980
30040,3,3690
30040,4,3270
30040,5,7480
30040,6,2680
,,
30041,,28790
30041,1,7610
30041,2,4100
30041,3,2960
30041,4,2740
30041,5,7720
30041,6,3660
,,
30043,,38780
30043,1,14410
30043,2,9310
30043,3,5210
30043,4,3520
30043,5,5110
30043,6,1220
,,
30044,,39870
30044,1,18060
30044,2,10950
30044,3,4920
30044,4,2420
30044,5,3010
30044,6,510
,,
30045,,17400
30045,1,6580
30045,2,4380
30045,3,2690
30045,4,1480
30045,5,1940
30045,6,330
,,
30046,,17540
30046,1,8530
30046,2,5030
30046,3,1980
30046,4,920
30046,5,960
30046,6,120
,,
30047,,28720
30047,1,11170
30047,2,6450
30047,3,3570
30047,4,2450
30047,5,4060
30047,6,1020
,,
30052,,30110
30052,1,10770
30052,2,7120
30052,3,4620
30052,4,3160
30052,5,3920
30052,6,520
,,
30054,,5040
30054,1,1910
30054,2,1160
30054,3,680
30054,4,500
30054,5,640
30054,6,150
,,
30055,,1410
30055,1,460
30055,2,350
30055,3,210
30055,4,150
30055,5,210
30055,6,30
,,
30056,,1120
30056,1,410
30056,2,310
30056,3,160
30056,4,90
30056,5,120
30056,6,30
,,
30058,,25610
30058,1,12900
30058,2,7380
30058,3,2970
30058,4,1260
30058,5,1000
30058,6,100
,,
30060,,15380
30060,1,7920
30060,2,4090
30060,3,1570
30060,4,650
30060,5,800
30060,6,350
,,
30062,,29670
30062,1,8590
30062,2,4950
30062,3,3400
30062,4,2730
30062,5,6490
30062,6,3510
,,
30064,,22280
30064,1,6560
30064,2,3980
30064,3,2770
30064,4,2210
30064,5,4710
30064,6,2050
,,
30066,,27070
30066,1,8470
30066,2,5250
30066,3,3590
30066,4,2680
30066,5,5120
30066,6,1960
,,
30067,,21580
30067,1,8600
30067,2,5210
30067,3,2490
30067,4,1400
30067,5,2180
30067,6,1700
,,
30068,,15290
30068,1,3780
30068,2,2080
30068,3,1600
30068,4,1370
30068,5,3500
30068,6,2960
,,
30071,,10840
30071,1,5540
30071,2,2850
30071,3,1070
30071,4,510
30071,5,640
30071,6,230
,,
30075,,25120
30075,1,6330
30075,2,3420
30075,3,2570
30075,4,2090
30075,5,6130
30075,6,4580
,,
30076,,20330
30076,1,6390
30076,2,4040
30076,3,2430
30076,4,1730
30076,5,3870
30076,6,1870
,,
30078,,16620
30078,1,6080
30078,2,3860
30078,3,2290
30078,4,1440
30078,5,2210
30078,6,740
,,
30079,,1510
30079,1,750
30079,2,390
30079,3,170
30079,4,80
30079,5,120
30079,6,**
,,
30080,,24800
30080,1,7690
30080,2,5870
30080,3,3620
30080,4,2400
30080,5,3460
30080,6,1760
,,
30082,,12780
30082,1,3560
30082,2,2610
30082,3,1800
30082,4,1370
30082,5,2460
30082,6,980
,,
30083,,24850
30083,1,13770
30083,2,6920
30083,3,2270
30083,4,980
30083,5,820
30083,6,90
,,
30084,,18080
30084,1,6940
30084,2,4410
30084,3,2450
30084,4,1550
30084,5,2190
30084,6,540
,,
30087,,17880
30087,1,6410
30087,2,4090
30087,3,2560
30087,4,1600
30087,5,2530
30087,6,690
,,
30088,,12420
30088,1,6440
30088,2,3550
30088,3,1280
30088,4,560
30088,5,550
30088,6,40
,,
30092,,16500
30092,1,5820
30092,2,3920
30092,3,1850
30092,4,1090
30092,5,2350
30092,6,1470
,,
30093,,22170
30093,1,12680
30093,2,6540
30093,3,1860
30093,4,610
30093,5,410
30093,6,70
,,
30094,,14400
30094,1,5500
30094,2,3430
30094,3,2150
30094,4,1270
30094,5,1770
30094,6,280
,,
30096,,31430
30096,1,12970
30096,2,8580
30096,3,3950
30096,4,2120
30096,5,2940
30096,6,870
,,
30097,,20420
30097,1,5780
30097,2,3170
30097,3,2280
30097,4,1680
30097,5,4150
30097,6,3360
,,
30101,,27040
30101,1,8710
30101,2,5110
30101,3,3580
30101,4,2760
30101,5,5120
30101,6,1760
,,
30102,,18770
30102,1,6990
30102,2,4480
30102,3,2560
30102,4,1870
30102,5,2490
30102,6,380
,,
30103,,5900
30103,1,2190
30103,2,1620
30103,3,890
30103,4,560
30103,5,540
30103,6,100
,,
30104,,1890
30104,1,770
30104,2,530
30104,3,280
30104,4,150
30104,5,160
30104,6,**
,,
30105,,1120
30105,1,410
30105,2,270
30105,3,170
30105,4,110
30105,5,130
30105,6,30
,,
30106,,9750
30106,1,4400
30106,2,2880
30106,3,1210
30106,4,670
30106,5,550
30106,6,40
,,
30107,,6650
30107,1,2110
30107,2,1410
30107,3,980
30107,4,730
30107,5,1170
30107,6,250
