83201,,15190
83201,1,6150
83201,2,3880
83201,3,2180
83201,4,1290
83201,5,1400
83201,6,290
,,
83202,,8590
83202,1,3230
83202,2,2110
83202,3,1340
83202,4,930
83202,5,880
83202,6,100
,,
83204,,7400
83204,1,3180
83204,2,1760
83204,3,960
83204,4,610
83204,5,750
83204,6,140
,,
83210,,1260
83210,1,520
83210,2,410
83210,3,160
83210,4,80
83210,5,70
83210,6,20
,,
83211,,2550
83211,1,910
83211,2,850
83211,3,370
83211,4,190
83211,5,170
83211,6,60
,,
83213,,520
83213,1,210
83213,2,120
83213,3,70
83213,4,70
83213,5,50
83213,6,**
,,
83214,,250
83214,1,90
83214,2,50
83214,3,60
83214,4,30
83214,5,20
83214,6,**
,,
83217,,290
83217,1,110
83217,2,80
83217,3,50
83217,4,30
83217,5,20
83217,6,**
,,
83221,,10380
83221,1,4060
83221,2,2670
83221,3,1600
83221,4,950
83221,5,930
83221,6,170
,,
83226,,1040
83226,1,460
83226,2,220
83226,3,150
83226,4,100
83226,5,110
83226,6,**
,,
83228,,230
83228,1,70
83228,2,80
83228,3,50
83228,4,30
83228,5,**
83228,6,**
,,
83232,,190
83232,1,80
83232,2,40
83232,3,40
83232,4,30
83232,5,**
83232,6,**
,,
83234,,440
83234,1,180
83234,2,100
83234,3,70
83234,4,50
83234,5,40
83234,6,**
,,
83236,,930
83236,1,310
83236,2,240
83236,3,140
83236,4,110
83236,5,110
83236,6,20
,,
83237,,560
83237,1,170
83237,2,170
83237,3,110
83237,4,50
83237,5,60
83237,6,**
,,
83241,,750
83241,1,250
83241,2,180
83241,3,140
83241,4,100
83241,5,80
83241,6,**
,,
83244,,130
83244,1,50
83244,2,50
83244,3,**
83244,4,30
83244,5,**
83244,6,**
,,
83245,,960
83245,1,320
83245,2,200
83245,3,150
83245,4,140
83245,5,130
83245,6,20
,,
83246,,460
83246,1,180
83246,2,100
83246,3,70
83246,4,50
83246,5,60
83246,6,**
,,
83250,,640
83250,1,250
83250,2,140
83250,3,110
83250,4,70
83250,5,70
83250,6,**
,,
83251,,480
83251,1,200
83251,2,110
83251,3,60
83251,4,50
83251,5,60
83251,6,**
,,
83252,,1690
83252,1,640
83252,2,430
83252,3,310
83252,4,170
83252,5,140
83252,6,**
,,
83254,,1510
83254,1,640
83254,2,290
83254,3,270
83254,4,170
83254,5,140
83254,6,**
,,
83255,,370
83255,1,130
83255,2,90
83255,3,70
83255,4,40
83255,5,40
83255,6,**
,,
83262,,550
83262,1,200
83262,2,150
83262,3,90
83262,4,50
83262,5,60
83262,6,**
,,
83263,,3770
83263,1,1360
83263,2,1000
83263,3,640
83263,4,420
83263,5,290
83263,6,60
,,
83271,,180
83271,1,70
83271,2,40
83271,3,50
83271,4,**
83271,5,20
83271,6,**
,,
83272,,100
83272,1,50
83272,2,30
83272,3,**
83272,4,20
83272,5,**
83272,6,**
,,
83274,,3870
83274,1,1390
83274,2,980
83274,3,600
83274,4,390
83274,5,440
83274,6,70
,,
83276,,1740
83276,1,550
83276,2,350
83276,3,320
83276,4,260
83276,5,230
83276,6,30
,,
83278,,170
83278,1,60
83278,2,50
83278,3,30
83278,4,30
83278,5,**
83278,6,**
,,
83286,,480
83286,1,150
83286,2,130
83286,3,100
83286,4,50
83286,5,50
83286,6,**
,,
83287,,110
83287,1,40
83287,2,20
83287,3,30
83287,4,**
83287,5,20
83287,6,**
,,
83301,,23640
83301,1,9360
83301,2,6630
83301,3,3420
83301,4,1930
83301,5,1820
83301,6,480
,,
83311,,260
83311,1,80
83311,2,70
83311,3,40
83311,4,40
83311,5,30
83311,6,**
,,
83313,,1430
83313,1,440
83313,2,400
83313,3,240
83313,4,130
83313,5,170
83313,6,50
,,
83314,,360
83314,1,150
83314,2,100
83314,3,60
83314,4,20
83314,5,30
83314,6,**
,,
83316,,4120
83316,1,1660
83316,2,1260
83316,3,600
83316,4,280
83316,5,270
83316,6,50
,,
83318,,7110
83318,1,2710
83318,2,2110
83318,3,1060
83318,4,580
83318,5,510
83318,6,140
,,
83320,,430
83320,1,170
83320,2,110
83320,3,60
83320,4,40
83320,5,50
83320,6,**
,,
83321,,220
83321,1,90
83321,2,80
83321,3,30
83321,4,20
83321,5,**
83321,6,**
,,
83323,,760
83323,1,230
83323,2,230
83323,3,120
83323,4,80
83323,5,70
83323,6,30
,,
83324,,210
83324,1,80
83324,2,60
83324,3,30
83324,4,40
83324,5,**
83324,6,**
,,
83325,,400
