50001,,310
50001,1,80
50001,2,70
50001,3,40
50001,4,50
50001,5,70
50001,6,**
,,
50002,,580
50002,1,160
50002,2,160
50002,3,120
50002,4,70
50002,5,70
50002,6,**
,,
50003,,3730
50003,1,960
50003,2,680
50003,3,500
50003,4,450
50003,5,840
50003,6,300
,,
50005,,330
50005,1,130
50005,2,80
50005,3,50
50005,4,40
50005,5,30
50005,6,**
,,
50006,,700
50006,1,220
50006,2,190
50006,3,120
50006,4,80
50006,5,90
50006,6,**
,,
50007,,240
50007,1,60
50007,2,40
50007,3,30
50007,4,40
50007,5,70
50007,6,**
,,
50008,,340
50008,1,120
50008,2,120
50008,3,60
50008,4,40
50008,5,**
50008,6,**
,,
50009,,9400
50009,1,2580
50009,2,2140
50009,3,1490
50009,4,1140
50009,5,1780
50009,6,270
,,
50010,,13440
50010,1,4370
50010,2,3070
50010,3,1810
50010,4,1400
50010,5,2200
50010,6,590
,,
50014,,9960
50014,1,3990
50014,2,1860
50014,3,1000
50014,4,780
50014,5,1680
50014,6,650
,,
50020,,650
50020,1,200
50020,2,190
50020,3,110
50020,4,80
50020,5,70
50020,6,**
,,
50021,,13170
50021,1,3290
50021,2,2780
50021,3,1980
50021,4,1510
50021,5,2810
50021,6,800
,,
50022,,3790
50022,1,1320
50022,2,1040
50022,3,580
50022,4,380
50022,5,380
50022,6,90
,,
50023,,17150
50023,1,4050
50023,2,3220
50023,3,2520
50023,4,2190
50023,5,4260
50023,6,910
,,
50025,,1410
50025,1,480
50025,2,360
50025,3,240
50025,4,140
50025,5,150
50025,6,40
,,
50026,,230
50026,1,80
50026,2,60
50026,3,50
50026,4,40
50026,5,**
50026,6,0
,,
50027,,130
50027,1,50
50027,2,50
50027,3,30
50027,4,**
50027,5,**
50027,6,**
,,
50028,,740
50028,1,220
50028,2,170
50028,3,130
50028,4,110
50028,5,110
50028,6,**
,,
50029,,280
50029,1,110
50029,2,80
50029,3,50
50029,4,40
50029,5,**
50029,6,**
,,
50034,,190
50034,1,60
50034,2,40
50034,3,40
50034,4,30
50034,5,20
50034,6,**
,,
50035,,3270
50035,1,750
50035,2,550
50035,3,530
50035,4,540
50035,5,800
50035,6,100
,,
50036,,7870
50036,1,2430
50036,2,2060
50036,3,1330
50036,4,870
50036,5,1000
50036,6,180
,,
50039,,170
50039,1,50
50039,2,50
50039,3,30
50039,4,20
50039,5,20
50039,6,**
,,
50042,,140
50042,1,60
50042,2,40
50042,3,20
50042,4,20
50042,5,**
50042,6,**
,,
50044,,410
50044,1,140
50044,2,120
50044,3,70
50044,4,40
50044,5,40
50044,6,**
,,
50046,,720
50046,1,180
50046,2,140
50046,3,130
50046,4,100
50046,5,130
50046,6,40
,,
50047,,2800
50047,1,810
50047,2,660
50047,3,450
50047,4,330
50047,5,480
50047,6,70
,,
50048,,380
50048,1,140
50048,2,110
50048,3,70
50048,4,30
50048,5,30
50048,6,**
,,
50049,,2870
50049,1,1110
50049,2,760
50049,3,470
50049,4,250
50049,5,240
50049,6,40
,,
50050,,320
50050,1,100
50050,2,90
50050,3,60
50050,4,30
50050,5,40
50050,6,**
,,
50051,,140
50051,1,40
50051,2,50
50051,3,30
50051,4,20
50051,5,**
50051,6,**
,,
50054,,1590
50054,1,520
50054,2,410
50054,3,280
50054,4,170
50054,5,190
50054,6,20
,,
50055,,450
50055,1,130
50055,2,110
50055,3,70
50055,4,70
50055,5,70
50055,6,**
,,
50056,,670
50056,1,190
50056,2,190
50056,3,120
50056,4,70
50056,5,100
50056,6,**
,,
50058,,810
50058,1,280
50058,2,220
50058,3,130
50058,4,80
50058,5,100
50058,6,**
,,
50060,,1060
50060,1,370
50060,2,310
50060,3,190
50060,4,90
50060,5,100
50060,6,**
,,
50061,,930
50061,1,220
50061,2,110
50061,3,90
50061,4,90
50061,5,240
50061,6,180
,,
50062,,260
50062,1,70
50062,2,70
50062,3,70
50062,4,30
50062,5,20
50062,6,**
,,
50063,,1330
50063,1,360
50063,2,280
50063,3,210
50063,4,150
50063,5,260
50063,6,70
,,
50065,,190
50065,1,90
50065,2,60
50065,3,40
50065,4,**
50065,5,**
50065,6,**
,,
50066,,140
50066,1,50
50066,2,30
50066,3,30
50066,4,30
50066,5,**
50066,6,**
,,
50067,,130
50067,1,50
50067,2,40
50067,3,40
50067,4,**
50067,5,**
50067,6,**
,,
50068,,150
50068,1,50
50068,2,70
50068,3,**
50068,4,30
50068,5,**
50068,6,0
,,
50069,,490
50069,1,140
50069,2,140
50069,3,80
50069,4,60
50069,5,70
50069,6,**
,,
50070,,690
50070,1,170
50070,2,180
50070,3,130
50070,4,70
50070,5,110
50070,6,30
,,
50071,,420
50071,1,140
50071,2,110
50071,3,80
50071,4,40
50071,5,50
50071,6,**
,,
50072,,1220
50072,1,330
50072,2,230
50072,3,200
50072,4,160
50072,5,260
50072,6,40
,,
50073,,600
50073,1,140
50073,2,140
50073,3,110
50073,4,70
50073,5,110
50073,6,30
,,
50074,,160
50074,1,40
50074,2,30
50074,3,30
50074,4,20
50074,5,40
50074,6,**
,,
50075,,410
50075,1,120
50075,2,110
50075,3,90
50075,4,40
50075,5,50
50075,6,**
,,
50076,,630
50076,1,230
50076,2,170
50076,3,100
50076,4,60
50076,5,70
50076,6,**
,,
50103,,170
50103,1,70
50103,2,50
50103,3,30
50103,4,20
50103,5,**
50103,6,**
,,
50105,,610
50105,1,160
50105,2,110
50105,3,90
50105,4,90
50105,5,130
50105,6,30
,,
50106,,480
50106,1,140
50106,2,130
50106,3,90
50106,4,70
50106,5,50
50106,6,**
,,
50107,,420
50107,1,140
50107,2,130
50107,3,70
50107,4,40
50107,5,40
50107,6,**
,,
50108,,190
50108,1,80
50108,2,50
50108,3,30
50108,4,30
50108,5,**
50108,6,**
,,
50109,,1410
50109,1,310
50109,2,210
50109,3,220
50109,4,170
50109,5,400
50109,6,100
,,
50111,,6530
50111,1,1470
50111,2,1330
50111,3,970
50111,4,830
50111,5,1540
50111,6,390
,,
50112,,4790
50112,1,1570
50112,2,1150
50112,3,720
50112,4,540
50112,5,660
50112,6,150
,,
50115,,1210
50115,1,420
50115,2,320
50115,3,200
50115,4,120
50115,5,130
50115,6,20
,,
50116,,140
50116,1,50
50116,2,30
50116,3,30
50116,4,30
50116,5,**
50116,6,**
,,
50118,,400
50118,1,130
50118,2,90
50118,3,70
50118,4,60
50118,5,50
50118,6,**
,,
50119,,210
50119,1,60
50119,2,60
50119,3,40
50119,4,50
50119,5,**
50119,6,**
,,
50120,,150
50120,1,40
50120,2,30
50120,3,30
50120,4,20
50120,5,30
50120,6,**
,,
50122,,620
50122,1,170
50122,2,160
50122,3,120
50122,4,70
50122,5,100
50122,6,**
,,
50123,,350
50123,1,120
50123,2,110
50123,3,50
50123,4,40
50123,5,30
50123,6,**
,,
50124,,1870
50124,1,470
50124,2,350
50124,3,260
50124,4,260
50124,5,440
50124,6,90
,,
50125,,9170
50125,1,2710
50125,2,2010
50125,3,1460
50125,4,1100
50125,5,1580
50125,6,310
,,
50126,,3040
50126,1,1060
50126,2,780
50126,3,470
50126,4,310
50126,5,320
50126,6,100
,,
50128,,150
50128,1,50
50128,2,50
50128,3,20
50128,4,30
50128,5,**
50128,6,**
,,
50129,,2390
50129,1,840
50129,2,630
50129,3,340
50129,4,240
50129,5,280
50129,6,60
,,
50130,,760
50130,1,220
50130,2,190
50130,3,130
50130,4,90
50130,5,110
50130,6,20
,,
50131,,10330
50131,1,2530
50131,2,1790
50131,3,1300
50131,4,1130
50131,5,2440
50131,6,1140
,,
50132,,170
50132,1,50
50132,2,60
50132,3,30
50132,4,30
50132,5,**
50132,6,**
,,
50133,,200
50133,1,90
50133,2,60
50133,3,30
50133,4,20
50133,5,**
50133,6,**
,,
50134,,300
50134,1,80
50134,2,70
50134,3,40
50134,4,40
50134,5,70
50134,6,**
,,
50135,,770
50135,1,240
50135,2,200
50135,3,120
50135,4,100
50135,5,110
50135,6,**
,,
50136,,180
50136,1,60
50136,2,40
50136,3,40
50136,4,40
50136,5,**
50136,6,**
,,
50138,,5290
50138,1,1700
50138,2,1410
50138,3,960
50138,4,610
50138,5,530
50138,6,80
,,
50139,,540
50139,1,160
50139,2,160
50139,3,100
50139,4,60
50139,5,60
50139,6,**
,,
50140,,880
50140,1,400
50140,2,220
50140,3,120
50140,4,60
50140,5,80
50140,6,**
,,
50141,,250
50141,1,70
50141,2,80
50141,3,40
50141,4,30
50141,5,30
50141,6,**
,,
50143,,280
50143,1,90
50143,2,60
50143,3,50
50143,4,40
50143,5,40
50143,6,**
,,
50144,,1130
50144,1,450
50144,2,310
50144,3,170
50144,4,100
50144,5,100
50144,6,**
,,
50146,,230
50146,1,70
50146,2,60
50146,3,30
50146,4,40
50146,5,30
50146,6,**
,,
50147,,170
50147,1,60
50147,2,50
50147,3,30
50147,4,30
50147,5,**
50147,6,**
,,
50148,,160
50148,1,50
50148,2,40
50148,3,30
50148,4,40
50148,5,**
50148,6,**
,,
50149,,390
50149,1,130
50149,2,130
50149,3,60
50149,4,30
50149,5,40
50149,6,**
,,
50150,,390
50150,1,130
50150,2,120
50150,3,80
50150,4,60
50150,5,**
50150,6,**
,,
50151,,320
50151,1,110
50151,2,80
50151,3,50
50151,4,40
50151,5,40
50151,6,**
,,
50153,,380
50153,1,100
50153,2,90
50153,3,70
50153,4,60
50153,5,60
50153,6,**
,,
50154,,230
50154,1,60
50154,2,50
50154,3,60
50154,4,30
50154,5,30
50154,6,**
,,
50155,,100
50155,1,40
50155,2,40
50155,3,**
50155,4,20
50155,5,**
50155,6,0
,,
50156,,2120
50156,1,600
50156,2,490
50156,3,360
50156,4,270
50156,5,350
50156,6,50
,,
50157,,350
50157,1,100
50157,2,110
50157,3,70
50157,4,40
50157,5,30
50157,6,**
,,
50158,,13970
50158,1,4630
50158,2,4200
50158,3,2210
50158,4,1380
50158,5,1290
50158,6,260
,,
50161,,900
50161,1,240
50161,2,220
50161,3,150
50161,4,120
50161,5,150
50161,6,20
,,
50162,,540
50162,1,130
50162,2,150
50162,3,100
50162,4,80
50162,5,80
50162,6,**
,,
50164,,290
50164,1,90
50164,2,70
50164,3,50
50164,4,50
50164,5,30
50164,6,**
,,
50166,,710
50166,1,190
50166,2,170
50166,3,140
50166,4,110
50166,5,100
50166,6,**
,,
50167,,360
50167,1,100
50167,2,90
50167,3,70
50167,4,40
50167,5,60
50167,6,**
,,
50168,,400
50168,1,90
50168,2,90
50168,3,70
50168,4,60
50168,5,90
50168,6,**
,,
50169,,1200
50169,1,330
50169,2,300
50169,3,200
50169,4,140
50169,5,190
50169,6,40
,,
50170,,1330
50170,1,390
50170,2,320
50170,3,240
50170,4,170
50170,5,180
50170,6,30
,,
50171,,1280
50171,1,380
50171,2,360
50171,3,170
50171,4,170
50171,5,160
50171,6,40
,,
50173,,330
50173,1,130
50173,2,80
50173,3,60
50173,4,30
50173,5,30
50173,6,**
,,
50174,,590
50174,1,220
50174,2,160
50174,3,100
50174,4,60
50174,5,50
50174,6,**
,,
50201,,3950
50201,1,1110
50201,2,1010
50201,3,690
50201,4,510
50201,5,530
50201,6,100
,,
50206,,210
50206,1,60
50206,2,50
50206,3,40
50206,4,30
50206,5,30
50206,6,**
,,
50207,,1070
50207,1,360
50207,2,220
50207,3,200
50207,4,150
50207,5,140
50207,6,**
,,
50208,,8790
50208,1,2900
50208,2,2490
50208,3,1470
50208,4,890
50208,5,890
50208,6,150
,,
50210,,840
50210,1,230
50210,2,200
50210,3,140
50210,4,120
50210,5,150
50210,6,**
,,
50211,,6320
50211,1,1520
50211,2,1340
50211,3,980
50211,4,830
50211,5,1340
50211,6,310
,,
50212,,1480
50212,1,450
50212,2,360
50212,3,240
50212,4,170
50212,5,230
50212,6,30
,,
50213,,3180
50213,1,1130
50213,2,980
50213,3,480
50213,4,300
50213,5,260
50213,6,30
,,
50214,,370
50214,1,90
50214,2,70
50214,3,60
50214,4,60
50214,5,70
50214,6,20
,,
50216,,1270
50216,1,320
50216,2,260
50216,3,180
50216,4,180
50216,5,230
50216,6,100
,,
50217,,260
50217,1,70
50217,2,80
50217,3,40
50217,4,40
50217,5,30
50217,6,**
,,
50219,,6060
50219,1,1630
50219,2,1220
50219,3,940
50219,4,810
50219,5,1130
50219,6,330
,,
50220,,3960
50220,1,1300
50220,2,1350
50220,3,620
50220,4,340
50220,5,290
50220,6,60
,,
50222,,220
50222,1,70
50222,2,40
50222,3,40
50222,4,30
50222,5,40
50222,6,**
,,
50223,,160
50223,1,40
50223,2,60
50223,3,20
50223,4,40
50223,5,**
50223,6,**
,,
50225,,1330
50225,1,390
50225,2,290
50225,3,220
50225,4,180
50225,5,230
50225,6,20
,,
50226,,2680
50226,1,570
50226,2,430
50226,3,330
50226,4,360
50226,5,770
50226,6,220
,,
50228,,1090
50228,1,280
50228,2,240
50228,3,200
50228,4,150
50228,5,220
50228,6,**
,,
50229,,530
50229,1,140
50229,2,90
50229,3,70
50229,4,60
50229,5,140
50229,6,30
,,
50230,,510
50230,1,140
50230,2,140
50230,3,80
50230,4,80
50230,5,70
50230,6,**
,,
50232,,240
50232,1,70
50232,2,50
50232,3,50
50232,4,40
50232,5,30
50232,6,**
,,
50233,,620
50233,1,190
50233,2,190
50233,3,100
50233,4,70
50233,5,70
50233,6,**
,,
50234,,260
50234,1,70
50234,2,50
50234,3,60
50234,4,30
50234,5,50
50234,6,**
,,
50235,,180
50235,1,50
50235,2,60
50235,3,40
50235,4,30
50235,5,**
50235,6,**
,,
50236,,730
50236,1,170
50236,2,160
50236,3,130
50236,4,110
50236,5,160
50236,6,**
,,
50237,,1460
50237,1,370
50237,2,250
50237,3,220
50237,4,200
50237,5,340
50237,6,80
,,
50238,,460
50238,1,160
50238,2,130
50238,3,90
50238,4,50
50238,5,30
50238,6,**
,,
50240,,1070
50240,1,290
50240,2,200
50240,3,150
50240,4,150
50240,5,230
50240,6,50
,,
50242,,180
50242,1,70
50242,2,40
50242,3,50
50242,4,**
50242,5,20
50242,6,**
,,
50244,,910
50244,1,250
50244,2,200
50244,3,140
50244,4,110
50244,5,180
50244,6,30
,,
50246,,310
50246,1,90
50246,2,90
50246,3,60
50246,4,30
50246,5,40
50246,6,**
,,
50247,,1080
50247,1,320
50247,2,240
50247,3,180
50247,4,140
50247,5,170
50247,6,30
,,
50248,,2170
50248,1,570
50248,2,530
50248,3,370
50248,4,270
50248,5,360
50248,6,70
,,
50249,,570
50249,1,160
50249,2,150
50249,3,110
50249,4,80
50249,5,70
50249,6,**
,,
50250,,1010
50250,1,350
50250,2,260
50250,3,170
50250,4,120
50250,5,110
50250,6,**
,,
50251,,610
50251,1,150
50251,2,150
50251,3,130
50251,4,90
50251,5,90
50251,6,**
,,
50252,,170
50252,1,50
50252,2,40
50252,3,30
50252,4,20
50252,5,30
50252,6,**
,,
50254,,130
50254,1,40
50254,2,40
50254,3,30
50254,4,20
50254,5,**
50254,6,0
,,
50256,,220
50256,1,60
50256,2,60
50256,3,50
50256,4,30
50256,5,20
50256,6,**
,,
50257,,430
50257,1,140
50257,2,90
50257,3,70
50257,4,50
50257,5,80
50257,6,**
,,
50258,,330
50258,1,90
50258,2,90
50258,3,60
50258,4,50
50258,5,40
50258,6,**
,,
50261,,1170
50261,1,290
50261,2,190
50261,3,150
50261,4,130
50261,5,310
50261,6,100
,,
50262,,170
50262,1,60
50262,2,50
50262,3,30
50262,4,30
50262,5,**
50262,6,**
,,
50263,,9500
50263,1,2210
50263,2,1750
50263,3,1360
50263,4,1100
50263,5,2290
50263,6,790
,,
50264,,220
50264,1,80
50264,2,70
50264,3,50
50264,4,**
50264,5,20
50264,6,**
,,
50265,,16480
50265,1,4380
50265,2,4200
50265,3,2500
50265,4,1650
50265,5,2700
50265,6,1050
,,
50266,,16750
50266,1,3940
50266,2,4100
50266,3,2620
50266,4,1760
50266,5,3010
50266,6,1320
,,
50268,,380
50268,1,150
50268,2,110
50268,3,70
50268,4,30
50268,5,20
50268,6,**
,,
50271,,280
50271,1,90
50271,2,80
50271,3,60
50271,4,30
50271,5,20
50271,6,**
,,
50273,,3790
50273,1,1210
50273,2,810
50273,3,580
50273,4,470
50273,5,590
50273,6,130
,,
50274,,160
50274,1,50
50274,2,40
50274,3,30
50274,4,40
50274,5,**
50274,6,**
,,
50275,,210
50275,1,70
50275,2,60
50275,3,40
50275,4,20
50275,5,20
50275,6,**
,,
50276,,1000
50276,1,270
50276,2,230
50276,3,180
50276,4,140
50276,5,160
50276,6,20
,,
50277,,230
50277,1,70
50277,2,60
50277,3,40
50277,4,30
50277,5,30
50277,6,**
,,
50278,,360
50278,1,110
50278,2,90
50278,3,60
50278,4,50
50278,5,50
50278,6,**
,,
50309,,4110
50309,1,1310
50309,2,1380
50309,3,650
50309,4,290
50309,5,300
50309,6,180
,,
50310,,15650
50310,1,4660
50310,2,4860
50310,3,2770
50310,4,1510
50310,5,1620
50310,6,230
,,
50311,,6150
50311,1,2220
50311,2,1800
50311,3,960
50311,4,490
50311,5,590
50311,6,90
,,
50312,,7680
50312,1,2090
50312,2,1830
50312,3,1120
50312,4,680
50312,5,1170
50312,6,790
,,
50313,,7790
50313,1,2810
50313,2,2580
50313,3,1220
50313,4,580
50313,5,520
50313,6,80
,,
50314,,4770
50314,1,2480
50314,2,1570
50314,3,440
50314,4,150
50314,5,130
50314,6,**
,,
50315,,17160
50315,1,6350
50315,2,5830
50315,3,2620
50315,4,1320
50315,5,920
50315,6,120
,,
50316,,6900
50316,1,2980
50316,2,2420
50316,3,920
50316,4,390
50316,5,190
50316,6,**
,,
50317,,17260
50317,1,6310
50317,2,5620
50317,3,2820
50317,4,1450
50317,5,980
50317,6,80
,,
50320,,9940
50320,1,3570
50320,2,2880
50320,3,1480
50320,4,890
50320,5,1020
50320,6,100
,,
50321,,3870
50321,1,1180
50321,2,1060
50321,3,470
50321,4,300
50321,5,600
50321,6,260
,,
50322,,16230
50322,1,4470
50322,2,3980
50322,3,2560
50322,4,1820
50322,5,2810
50322,6,590
,,
