66002,,5340
66002,1,2220
66002,2,1280
66002,3,760
66002,4,490
66002,5,480
66002,6,110
,,
66006,,3260
66006,1,1040
66006,2,730
66006,3,520
66006,4,370
66006,5,500
66006,6,100
,,
66007,,4280
66007,1,1050
66007,2,760
66007,3,630
66007,4,610
66007,5,1050
66007,6,180
,,
66008,,120
66008,1,30
66008,2,60
66008,3,**
66008,4,30
66008,5,**
66008,6,**
,,
66010,,210
66010,1,90
66010,2,50
66010,3,40
66010,4,30
66010,5,**
66010,6,**
,,
66012,,4690
66012,1,1500
66012,2,1140
66012,3,700
66012,4,510
66012,5,740
66012,6,100
,,
66013,,970
66013,1,260
66013,2,150
66013,3,120
66013,4,90
66013,5,200
66013,6,150
,,
66014,,160
66014,1,50
66014,2,40
66014,3,30
66014,4,40
66014,5,**
66014,6,**
,,
66015,,330
66015,1,150
66015,2,80
66015,3,60
66015,4,20
66015,5,20
66015,6,**
,,
66016,,240
66016,1,80
66016,2,50
66016,3,40
66016,4,40
66016,5,30
66016,6,**
,,
66017,,130
66017,1,40
66017,2,30
66017,3,30
66017,4,**
66017,5,30
66017,6,**
,,
66018,,2730
66018,1,890
66018,2,610
66018,3,350
66018,4,280
66018,5,460
66018,6,140
,,
66020,,790
66020,1,230
66020,2,180
66020,3,140
66020,4,100
66020,5,140
66020,6,**
,,
66021,,1250
66021,1,400
66021,2,310
66021,3,200
66021,4,150
66021,5,160
66021,6,30
,,
66023,,480
66023,1,160
66023,2,130
66023,3,90
66023,4,60
66023,5,40
66023,6,**
,,
66025,,3480
66025,1,1080
66025,2,800
66025,3,560
66025,4,440
66025,5,520
66025,6,80
,,
66026,,310
66026,1,110
66026,2,80
66026,3,50
66026,4,30
66026,5,40
66026,6,**
,,
66027,,1670
66027,1,390
66027,2,350
66027,3,280
66027,4,350
66027,5,300
66027,6,**
,,
66030,,10190
66030,1,2900
66030,2,2380
66030,3,1730
66030,4,1400
66030,5,1630
66030,6,150
,,
66032,,2100
66032,1,810
66032,2,540
66032,3,360
