40003,,870
40003,1,300
40003,2,220
40003,3,130
40003,4,110
40003,5,110
40003,6,**
,,
40004,,14070
40004,1,5150
40004,2,3790
40004,3,2090
40004,4,1350
40004,5,1410
40004,6,280
,,
40006,,2120
40006,1,780
40006,2,530
40006,3,350
40006,4,220
40006,5,220
40006,6,20
,,
40007,,120
40007,1,50
40007,2,40
40007,3,**
40007,4,30
40007,5,**
40007,6,**
,,
40008,,1780
40008,1,650
40008,2,470
40008,3,280
40008,4,190
40008,5,190
40008,6,**
,,
40009,,380
40009,1,160
40009,2,110
40009,3,60
40009,4,50
40009,5,**
40009,6,**
,,
40010,,320
40010,1,100
40010,2,40
40010,3,30
40010,4,30
40010,5,90
40010,6,30
,,
40011,,1090
40011,1,400
40011,2,290
40011,3,180
40011,4,110
40011,5,110
40011,6,**
,,
40012,,260
40012,1,100
40012,2,80
40012,3,60
40012,4,**
40012,5,20
40012,6,**
,,
40013,,2780
40013,1,810
40013,2,650
40013,3,470
40013,4,380
40013,5,420
40013,6,50
,,
40014,,9640
40014,1,2660
40014,2,1700
40014,3,1180
40014,4,1010
40014,5,2230
40014,6,860
,,
40019,,1710
40019,1,700
40019,2,490
40019,3,250
40019,4,140
40019,5,130
40019,6,**
,,
40022,,490
40022,1,160
40022,2,80
40022,3,50
40022,4,70
40022,5,90
40022,6,40
,,
40023,,2560
40023,1,640
40023,2,330
40023,3,290
40023,4,290
40023,5,720
40023,6,290
,,
40026,,2610
40026,1,720
40026,2,330
40026,3,250
40026,4,290
40026,5,650
40026,6,370
,,
40031,,9570
40031,1,2980
40031,2,2000
40031,3,1340
40031,4,1040
40031,5,1790
40031,6,420
,,
40033,,5350
40033,1,2170
40033,2,1570
40033,3,720
40033,4,430
40033,5,390
40033,6,70
,,
40036,,100
40036,1,40
40036,2,40
40036,3,20
40036,4,**
40036,5,**
40036,6,**
,,
40037,,1300
40037,1,470
40037,2,370
40037,3,230
40037,4,130
40037,5,100
40037,6,**
,,
40040,,220
40040,1,100
40040,2,50
40040,3,30
40040,4,40
40040,5,**
40040,6,**
,,
40045,,1340
40045,1,530
40045,2,330
40045,3,200
40045,4,150
40045,5,130
40045,6,**
,,
40046,,780
40046,1,260
40046,2,200
