3901,,3740
3901,1,1160
3901,2,930
3901,3,620
3901,4,440
3901,5,550
3901,6,40
,,
3902,,1250
3902,1,360
3902,2,240
3902,3,190
3902,4,130
3902,5,230
3902,6,100
,,
3903,,3510
3903,1,1000
3903,2,730
3903,3,570
3903,4,400
3903,5,640
3903,6,170
,,
3904,,4170
3904,1,1170
3904,2,1100
3904,3,700
3904,4,450
3904,5,590
3904,6,160
,,
3905,,1000
3905,1,240
3905,2,200
3905,3,130
3905,4,120
3905,5,220
3905,6,90
,,
3906,,2480
3906,1,730
3906,2,610
3906,3,390
3906,4,300
3906,5,390
3906,6,60
,,
3907,,970
3907,1,340
3907,2,190
3907,3,110
3907,4,100
3907,5,140
3907,6,90
,,
3908,,3660
3908,1,1080
3908,2,770
3908,3,550
3908,4,470
3908,5,690
3908,6,100
,,
3909,,5200
3909,1,1590
3909,2,990
3909,3,680
3909,4,560
3909,5,980
3909,6,400
,,
4001,,1200
4001,1,400
4001,2,300
4001,3,210
4001,4,130
4001,5,130
4001,6,30
,,
4002,,3690
4002,1,1190
4002,2,960
4002,3,580
4002,4,410
4002,5,490
4002,6,60
,,
4003,,160
4003,1,40
4003,2,40
4003,3,40
4003,4,**
4003,5,40
4003,6,**
,,
4005,,11370
4005,1,4390
4005,2,3290
4005,3,1550
4005,4,930
4005,5,1050
4005,6,160
,,
4008,,1450
4008,1,460
4008,2,350
4008,3,220
4008,4,170
4008,5,220
4008,6,30
,,
4009,,2340
4009,1,940
4009,2,640
4009,3,340
4009,4,200
4009,5,180
4009,6,40
,,
4010,,740
4010,1,310
4010,2,200
4010,3,100
4010,4,80
4010,5,50
4010,6,**
,,
4011,,10210
4011,1,3330
4011,2,2400
4011,3,1470
4011,4,1030
4011,5,1500
4011,6,480
,,
4015,,1620
4015,1,560
4015,2,430
4015,3,260
4015,4,180
4015,5,150
4015,6,40
,,
4017,,220
4017,1,80
4017,2,40
4017,3,30
4017,4,20
4017,5,50
4017,6,**
,,
4020,,730
4020,1,260
4020,2,210
4020,3,120
4020,4,60
4020,5,80
4020,6,**
,,
4021,,3250
4021,1,900
4021,2,440
4021,3,380
4021,4,350
4021,5,770
4021,6,410
,,
4022,,610
4022,1,250
4022,2,150
4022,3,90
4022,4,50
4022,5,70
4022,6,**
,,
4024,,270
4024,1,90
4024,2,90
4024,3,70
4024,4,**
4024,5,20
4024,6,**
,,
4027,,2910
4027,1,940
4027,2,810
4027,3,500
4027,4,330
4027,5,330
4027,6,**
,,
4029,,900
4029,1,300
4029,2,270
4029,3,150
4029,4,80
4029,5,100
4029,6,**
,,
4030,,1080
4030,1,350
4030,2,270
4030,3,200
4030,4,130
4030,5,130
4030,6,**
,,
4032,,4080
4032,1,1200
4032,2,860
4032,3,540
4032,4,380
4032,5,790
4032,6,310
,,
4037,,1780
4037,1,790
4037,2,470
4037,3,240
4037,4,130
4037,5,120
4037,6,30
,,
4038,,8360
4038,1,2410
4038,2,1900
4038,3,1240
4038,4,990
4038,5,1500
4038,6,320
,,
4039,,4070
4039,1,1190
4039,2,1030
4039,3,660
4039,4,500
4039,5,580
4039,6,110
,,
4040,,1360
4040,1,510
4040,2,350
4040,3,220
4040,4,130
4040,5,120
4040,6,30
,,
4041,,660
4041,1,260
4041,2,200
4041,3,110
4041,4,50
4041,5,40
4041,6,**
,,
4042,,2280
4042,1,730
4042,2,600
4042,3,370
4042,4,250
4042,5,310
4042,6,20
,,
4043,,5980
4043,1,1900
