48001,,6030
48001,1,2270
48001,2,1340
48001,3,930
48001,4,600
48001,5,760
48001,6,130
,,
48002,,1560
48002,1,540
48002,2,320
48002,3,200
48002,4,190
48002,5,290
48002,6,20
,,
48003,,3150
48003,1,1070
48003,2,600
48003,3,470
48003,4,390
48003,5,560
48003,6,60
,,
48005,,2750
48005,1,890
48005,2,550
48005,3,400
48005,4,340
48005,5,500
48005,6,70
,,
48006,,1830
48006,1,640
48006,2,350
48006,3,320
48006,4,240
48006,5,250
48006,6,30
,,
48009,,10540
48009,1,2260
48009,2,1140
48009,3,1100
48009,4,900
48009,5,2080
48009,6,3060
,,
48014,,2050
48014,1,790
48014,2,520
48014,3,310
48014,4,210
48014,5,220
48014,6,**
,,
48015,,4090
48015,1,1880
48015,2,1210
48015,3,540
48015,4,210
48015,5,250
48015,6,**
,,
48017,,6580
48017,1,1900
48017,2,1610
48017,3,1260
48017,4,840
48017,5,900
48017,6,70
,,
48021,,16350
48021,1,7860
48021,2,4640
48021,3,2060
48021,4,1020
48021,5,740
48021,6,30
,,
48022,,1240
48022,1,410
48022,2,260
48022,3,220
48022,4,160
48022,5,190
48022,6,**
,,
48023,,2300
48023,1,890
48023,2,490
48023,3,310
48023,4,240
48023,5,300
48023,6,70
,,
48025,,7530
48025,1,1820
48025,2,780
48025,3,690
48025,4,630
48025,5,1840
48025,6,1770
,,
48026,,7640
48026,1,2930
48026,2,1850
48026,3,1130
48026,4,730
48026,5,890
48026,6,110
,,
48027,,1520
48027,1,550
48027,2,320
48027,3,240
48027,4,190
48027,5,200
48027,6,20
,,
48028,,570
48028,1,180
48028,2,120
48028,3,80
48028,4,60
48028,5,90
48028,6,40
,,
48030,,7770
48030,1,3910
48030,2,2280
48030,3,940
48030,4,390
48030,5,250
48030,6,**
,,
48032,,1040
48032,1,360
48032,2,240
48032,3,150
48032,4,130
48032,5,160
48032,6,**
,,
48033,,8690
48033,1,3380
48033,2,2320
48033,3,1340
48033,4,660
48033,5,770
48033,6,220
,,
48034,,7090
48034,1,2700
48034,2,2010
48034,3,1030
48034,4,580
48034,5,600
48034,6,170
,,
48035,,17600
48035,1,7430
48035,2,4800
48035,3,2400
48035,4,1460
48035,5,1400
48035,6,110
,,
48036,,11370
48036,1,4770
48036,2,2730
48036,3,1460
48036,4,940
48036,5,1210
48036,6,260
,,
48038,,23340
48038,1,8160
48038,2,5700
48038,3,3410
48038,4,2430
48038,5,3130
48038,6,510
,,
48039,,3760
48039,1,1560
48039,2,890
48039,3,510
48039,4,360
48039,5,380
48039,6,60
,,
48040,,5100
48040,1,1820
48040,2,1100
48040,3,790
48040,4,570
48040,5,750
48040,6,70
,,
48041,,2130
48041,1,740
48041,2,460
48041,3,340
48041,4,260
48041,5,310
48041,6,20
,,
48042,,15480
48042,1,4420
48042,2,2460
48042,3,1990
48042,4,1930
48042,5,4030
48042,6,650
,,
48043,,7220
48043,1,3390
48043,2,1940
48043,3,900
48043,4,490
48043,5,440
48043,6,60
,,
48044,,27200
48044,1,8640
48044,2,4650
48044,3,3340
48044,4,3000
48044,5,6430
48044,6,1140
,,
48045,,13300
48045,1,4530
48045,2,3060
48045,3,1870
48045,4,1310
48045,5,1940
48045,6,590
,,
48047,,19890
48047,1,6510
48047,2,3760
48047,3,2840
48047,4,2350
48047,5,3860
48047,6,570
,,
48048,,3540
48048,1,1380
48048,2,910
48048,3,570
48048,4,330
48048,5,320
48048,6,30
,,
48049,,2760
48049,1,970
48049,2,590
48049,3,420
48049,4,350
48049,5,390
48049,6,40
,,
48050,,850
48050,1,250
48050,2,160
48050,3,150
48050,4,100
48050,5,160
48050,6,30
,,
48051,,8660
48051,1,3160
48051,2,1780
48051,3,1300
48051,4,920
48051,5,1360
48051,6,140
,,
48054,,3620
48054,1,1240
48054,2,650
48054,3,490
48054,4,460
48054,5,660
48054,6,120
,,
48059,,7480
48059,1,2920
48059,2,1670
48059,3,1010
48059,4,740
48059,5,900
48059,6,240
,,
48060,,17780
48060,1,9050
48060,2,4310
48060,3,2030
48060,4,1090
48060,5,1120
48060,6,180
,,
48062,,4750
48062,1,1680
48062,2,1010
48062,3,690
48062,4,570
48062,5,710
48062,6,90
,,
48063,,1900
48063,1,610
48063,2,390
48063,3,300
48063,4,240
48063,5,320
48063,6,40
,,
48064,,2030
48064,1,780
48064,2,440
48064,3,270
48064,4,190
48064,5,300
48064,6,50
,,
48065,,5500
48065,1,1810
48065,2,1020
48065,3,640
48065,4,580
48065,5,1100
48065,6,350
,,
48066,,24030
48066,1,10880
48066,2,7140
48066,3,3340
48066,4,1590
48066,5,1020
48066,6,60
,,
48067,,13880
48067,1,3100
48067,2,2710
48067,3,2650
48067,4,1820
48067,5,2710
48067,6,890
,,
48069,,1400
48069,1,300
48069,2,170
48069,3,170
48069,4,170
48069,5,380
48069,6,210
,,
48070,,3160
48070,1,710
48070,2,280
48070,3,290
48070,4,310
48070,5,920
48070,6,650
,,
48071,,15140
48071,1,6160
48071,2,4240
48071,3,2300
48071,4,1280
48071,5,1060
48071,6,100
,,
48072,,8270
48072,1,2140
48072,2,1660
48072,3,1500
48072,4,1100
48072,5,1630
48072,6,240
,,
48073,,18880
48073,1,5050
48073,2,4140
48073,3,3310
48073,4,2270
48073,5,3310
48073,6,800
,,
48074,,4540
48074,1,1800
48074,2,1060
48074,3,740
48074,4,430
48074,5,470
48074,6,40
,,
48075,,11030
48075,1,4340
48075,2,2860
48075,3,1720
48075,4,930
48075,5,1000
48075,6,180
,,
48076,,13800
48076,1,4710
48076,2,3180
48076,3,2210
48076,4,1480
48076,5,1920
48076,6,300
,,
48079,,6360
48079,1,2110
48079,2,1280
48079,3,880
48079,4,730
48079,5,1120
48079,6,240
,,
48080,,12830
48080,1,4680
48080,2,3270
48080,3,2150
48080,4,1290
48080,5,1280
48080,6,160
,,
48081,,11360
48081,1,3850
48081,2,2670
48081,3,1880
48081,4,1270
48081,5,1460
48081,6,230
,,
48082,,9210
48082,1,3320
48082,2,2340
48082,3,1570
48082,4,980
48082,5,900
48082,6,100
,,
48083,,11160
48083,1,3690
48083,2,2090
48083,3,1630
48083,4,1250
48083,5,2020
48083,6,480
,,
48084,,7840
48084,1,1850
48084,2,1230
48084,3,1140
48084,4,1010
48084,5,1800
48084,6,810
,,
48085,,12350
48085,1,3390
48085,2,1710
48085,3,1420
48085,4,1390
48085,5,3380
48085,6,1060
,,
48088,,12280
48088,1,4480
48088,2,3110
48088,3,2040
48088,4,1340
48088,5,1220
48088,6,90
,,
48089,,14100
48089,1,7280
48089,2,3990
48089,3,1630
48089,4,720
48089,5,450
48089,6,30
,,
48091,,14370
48091,1,7330
48091,2,4030
48091,3,1640
48091,4,780
48091,5,550
48091,6,40
,,
48092,,13910
