55001,,1540
55001,1,370
55001,2,180
55001,3,180
55001,4,160
55001,5,390
55001,6,260
,,
55003,,1200
55003,1,330
55003,2,240
55003,3,190
55003,4,140
55003,5,210
55003,6,90
,,
55005,,2310
55005,1,620
55005,2,520
55005,3,370
55005,4,310
55005,5,440
55005,6,50
,,
55006,,1750
55006,1,650
55006,2,450
55006,3,290
55006,4,190
55006,5,170
55006,6,**
,,
55007,,1080
55007,1,400
55007,2,300
55007,3,180
55007,4,100
55007,5,100
55007,6,**
,,
55008,,7620
55008,1,2560
55008,2,1870
55008,3,1260
55008,4,820
55008,5,950
55008,6,160
,,
55009,,4170
55009,1,1210
55009,2,830
55009,3,670
55009,4,510
55009,5,790
55009,6,160
,,
55011,,5200
55011,1,1340
55011,2,1060
55011,3,850
55011,4,660
55011,5,1100
55011,6,190
,,
55012,,960
55012,1,290
55012,2,190
55012,3,150
55012,4,120
55012,5,170
55012,6,40
,,
55013,,3430
55013,1,1010
55013,2,650
55013,3,520
55013,4,420
55013,5,670
55013,6,160
,,
55014,,13640
55014,1,3800
55014,2,2780
55014,3,2020
55014,4,1620
55014,5,2770
55014,6,650
,,
55016,,17510
55016,1,4700
55016,2,3600
55016,3,2550
55016,4,2210
55016,5,3860
55016,6,590
,,
55017,,340
55017,1,90
55017,2,90
55017,3,50
55017,4,60
55017,5,50
55017,6,**
,,
55018,,510
55018,1,140
55018,2,110
55018,3,80
55018,4,70
55018,5,110
55018,6,**
,,
55019,,1010
55019,1,270
55019,2,220
55019,3,180
55019,4,140
55019,5,200
55019,6,**
,,
55020,,1830
55020,1,430
55020,2,280
55020,3,230
55020,4,220
55020,5,560
55020,6,110
,,
55021,,13930
55021,1,4790
55021,2,3910
55021,3,2100
55021,4,1390
55021,5,1470
55021,6,270
,,
55024,,16340
55024,1,4230
55024,2,3200
55024,3,2500
55024,4,2100
55024,5,3790
55024,6,520
,,
55025,,12390
55025,1,3680
55025,2,2600
55025,3,1780
55025,4,1410
55025,5,2360
55025,6,560
,,
55026,,230
55026,1,60
55026,2,50
55026,3,40
55026,4,40
55026,5,40
55026,6,**
