38601,,1030
38601,1,510
38601,2,280
38601,3,120
38601,4,50
38601,5,70
38601,6,**
,,
38603,,1080
38603,1,500
38603,2,320
38603,3,130
38603,4,60
38603,5,70
38603,6,**
,,
38606,,6740
38606,1,3150
38606,2,1800
38606,3,750
38606,4,450
38606,5,480
38606,6,110
,,
38610,,1290
38610,1,560
38610,2,410
38610,3,160
38610,4,90
38610,5,70
38610,6,**
,,
38611,,7210
38611,1,3230
38611,2,1920
38611,3,960
38611,4,510
38611,5,520
38611,6,70
,,
38614,,6970
38614,1,3970
38614,2,1710
38614,3,570
38614,4,240
38614,5,350
38614,6,130
,,
38617,,280
38617,1,180
38617,2,70
38617,3,30
38617,4,**
38617,5,**
38617,6,0
,,
38618,,5060
38618,1,2180
38618,2,1370
38618,3,690
38618,4,370
38618,5,400
38618,6,50
,,
38619,,2010
38619,1,1130
38619,2,500
38619,3,200
38619,4,90
38619,5,90
38619,6,**
,,
38620,,1440
38620,1,710
38620,2,410
38620,3,160
38620,4,80
38620,5,80
38620,6,**
,,
38621,,580
38621,1,350
38621,2,150
38621,3,50
38621,4,30
38621,5,**
38621,6,**
,,
38625,,350
38625,1,120
38625,2,110
38625,3,70
38625,4,50
38625,5,**
38625,6,**
,,
38626,,410
38626,1,210
38626,2,110
38626,3,60
38626,4,**
38626,5,30
38626,6,**
,,
38627,,490
38627,1,230
38627,2,110
38627,3,70
38627,4,40
38627,5,40
38627,6,**
,,
38629,,700
38629,1,330
38629,2,180
38629,3,100
38629,4,50
38629,5,40
38629,6,**
,,
38632,,11920
38632,1,3770
38632,2,2400
38632,3,1760
38632,4,1410
38632,5,2170
38632,6,410
,,
38633,,920
38633,1,420
38633,2,260
38633,3,110
38633,4,70
38633,5,60
38633,6,**
,,
38635,,6030
38635,1,3230
38635,2,1600
38635,3,620
38635,4,230
38635,5,290
38635,6,60
,,
38637,,11900
38637,1,5530
38637,2,3770
38637,3,1450
38637,4,650
38637,5,460
38637,6,40
,,
38641,,1000
38641,1,370
38641,2,240
38641,3,150
38641,4,100
38641,5,110
38641,6,30
,,
38642,,1070
38642,1,530
38642,2,320
38642,3,110
38642,4,50
38642,5,60
38642,6,**
,,
38643,,800
38643,1,480
38643,2,220
38643,3,60
38643,4,40
38643,5,**
38643,6,**
,,
38645,,590
38645,1,280
38645,2,150
38645,3,70
38645,4,40
38645,5,50
38645,6,**
,,
38646,,1180
38646,1,630
38646,2,310
38646,3,120
38646,4,50
38646,5,70
38646,6,**
,,
38647,,450
38647,1,230
38647,2,150
38647,3,40
38647,4,30
38647,5,**
38647,6,**
,,
38650,,1540
38650,1,640
38650,2,460
38650,3,220
38650,4,110
38650,5,110
38650,6,**
,,
38651,,3660
38651,1,1150
38651,2,790
38651,3,540
38651,4,400
38651,5,670
38651,6,110
,,
38652,,7050
38652,1,2740
38652,2,2140
38652,3,970
38652,4,570
38652,5,500
38652,6,130
,,
38654,,24090
38654,1,7650
38654,2,5370
38654,3,3830
38654,4,2650
38654,5,3810
38654,6,780
,,
38655,,16890
38655,1,6720
38655,2,3590
38655,3,1940
38655,4,1350
38655,5,2290
38655,6,1000
,,
38658,,990
38658,1,410
38658,2,290
38658,3,130
38658,4,90
38658,5,70
38658,6,**
,,
38659,,1040
38659,1,450
38659,2,310
38659,3,140
38659,4,70
38659,5,70
38659,6,**
,,
38661,,800
38661,1,360
38661,2,220
38661,3,110
38661,4,50
38661,5,60
38661,6,**
,,
38663,,4670
38663,1,1970
