59001,,700
59001,1,230
59001,2,150
59001,3,80
59001,4,90
59001,5,150
59001,6,**
,,
59003,,470
59003,1,200
59003,2,120
59003,3,70
59003,4,40
59003,5,40
59003,6,**
,,
59006,,370
59006,1,150
59006,2,80
59006,3,70
59006,4,40
59006,5,30
59006,6,**
,,
59008,,160
59008,1,70
59008,2,40
59008,3,20
59008,4,30
59008,5,**
59008,6,**
,,
59011,,1500
59011,1,580
59011,2,330
59011,3,210
59011,4,150
59011,5,190
59011,6,40
,,
59014,,640
59014,1,230
59014,2,180
59014,3,90
59014,4,70
59014,5,70
59014,6,**
,,
59015,,220
59015,1,100
59015,2,50
59015,3,30
59015,4,20
59015,5,20
59015,6,**
,,
59016,,280
59016,1,140
59016,2,60
59016,3,40
59016,4,40
59016,5,**
59016,6,**
,,
59019,,1940
59019,1,650
59019,2,370
59019,3,260
59019,4,240
59019,5,360
59019,6,60
,,
59022,,980
59022,1,500
59022,2,290
59022,3,110
59022,4,50
59022,5,30
59022,6,0
,,
59024,,160
59024,1,60
59024,2,40
59024,3,30
59024,4,30
59024,5,**
59024,6,**
,,
59027,,540
59027,1,220
59027,2,160
59027,3,70
59027,4,30
59027,5,60
59027,6,**
,,
59028,,160
59028,1,60
59028,2,30
59028,3,40
59028,4,**
59028,5,30
59028,6,**
,,
59029,,320
59029,1,130
59029,2,90
59029,3,40
59029,4,30
59029,5,30
59029,6,**
,,
59030,,710
59030,1,230
59030,2,240
59030,3,90
59030,4,60
59030,5,90
59030,6,**
,,
59031,,130
59031,1,50
59031,2,40
59031,3,20
59031,4,20
59031,5,**
59031,6,**
,,
59032,,220
59032,1,120
59032,2,40
59032,3,30
59032,4,30
59032,5,**
59032,6,**
,,
59034,,1880
59034,1,760
59034,2,490
59034,3,280
59034,4,150
59034,5,170
59034,6,30
,,
59037,,890
59037,1,290
59037,2,180
59037,3,130
59037,4,110
59037,5,150
59037,6,30
,,
59038,,280
59038,1,100
59038,2,70
59038,3,40
59038,4,40
59038,5,30
59038,6,**
,,
59041,,930
59041,1,320
59041,2,190
59041,3,150
59041,4,120
59041,5,120
59041,6,30
,,
59044,,5700
59044,1,1980
59044,2,1340
59044,3,810
59044,4,620
59044,5,790
59044,6,160
,,
59046,,220
59046,1,90
59046,2,40
59046,3,40
59046,4,20
59046,5,30
59046,6,**
,,
59047,,6390
59047,1,2420
59047,2,1680
59047,3,930
59047,4,580
59047,5,600
59047,6,180
,,
59050,,620
59050,1,290
59050,2,200
59050,3,70
59050,4,30
59050,5,30
59050,6,**
,,
59053,,110
59053,1,50
59053,2,30
59053,3,30
59053,4,**
59053,5,**
59053,6,**
,,
59057,,300
59057,1,80
59057,2,60
59057,3,60
59057,4,40
59057,5,60
59057,6,**
,,
59061,,110
59061,1,50
59061,2,**
59061,3,40
59061,4,**
59061,5,20
59061,6,**
,,
59063,,960
59063,1,270
59063,2,210
59063,3,150
59063,4,130
59063,5,180
59063,6,20
,,
59064,,100
59064,1,30
59064,2,30
59064,3,40
59064,4,**
59064,5,**
59064,6,**
,,
59065,,130
59065,1,50
59065,2,50
59065,3,**
59065,4,30
59065,5,**
59065,6,**
,,
59068,,1930
59068,1,720
59068,2,420
59068,3,280
59068,4,190
59068,5,230
59068,6,90
,,
59069,,240
59069,1,90
59069,2,50
59069,3,40
59069,4,20
59069,5,40
59069,6,**
,,
59070,,540
59070,1,200
59070,2,110
59070,3,80
59070,4,70
59070,5,80
59070,6,**
,,
59072,,1710
59072,1,710
59072,2,400
59072,3,220
59072,4,180
59072,5,170
59072,6,30
,,
59074,,240
59074,1,130
59074,2,50
59074,3,30
59074,4,30
59074,5,**
59074,6,**
,,
59075,,100
59075,1,50
59075,2,30
59075,3,20
59075,4,**
59075,5,**
59075,6,**
,,
59079,,1510
59079,1,470
59079,2,310
59079,3,250
59079,4,190
59079,5,260
59079,6,30
,,
59086,,350
59086,1,150
59086,2,90
59086,3,40
59086,4,30
59086,5,40
59086,6,**
,,
59087,,160
59087,1,60
59087,2,70
59087,3,**
59087,4,30
59087,5,**
59087,6,**
,,
59088,,590
59088,1,200
59088,2,150
59088,3,80
59088,4,60
59088,5,100
59088,6,**
,,
59089,,150
59089,1,80
59089,2,70
59089,3,**
59089,4,**
59089,5,**
59089,6,**
,,
59101,,17920
59101,1,7410
59101,2,5080
59101,3,2380
59101,4,1330
59101,5,1380
59101,6,340
,,
59102,,23340
59102,1,8070
59102,2,6080
59102,3,3510
59102,4,2370
59102,5,2570
59102,6,740
,,
59105,,15180
59105,1,4980
59105,2,3600
59105,3,2350
59105,4,1760
59105,5,2130
59105,6,360
,,
59106,,8480
59106,1,2230
59106,2,1360
59106,3,1030
59106,4,920
59106,5,1910
59106,6,1030
,,
59201,,1810
59201,1,800
59201,2,470
59201,3,250
59201,4,130
59201,5,130
59201,6,30
,,
59212,,210
59212,1,50
59212,2,50
59212,3,30
59212,4,30
59212,5,50
59212,6,**
,,
59213,,190
59213,1,90
59213,2,60
59213,3,20
59213,4,20
59213,5,**
59213,6,**
,,
59215,,540
59215,1,210
59215,2,120
59215,3,90
59215,4,60
59215,5,60
59215,6,**
,,
59218,,540
59218,1,180
59218,2,100
59218,3,70
59218,4,70
59218,5,120
59218,6,**
,,
59221,,750
59221,1,210
59221,2,190
59221,3,120
59221,4,90
59221,5,140
59221,6,**
,,
59222,,110
59222,1,30
59222,2,50
59222,3,**
59222,4,30
59222,5,**
59222,6,**
,,
59223,,230
59223,1,50
59223,2,50
59223,3,40
59223,4,40
59223,5,50
59223,6,**
,,
59225,,140
59225,1,60
59225,2,60
59225,3,**
59225,4,20
59225,5,**
59225,6,**
,,
59226,,170
59226,1,50
59226,2,40
59226,3,50
59226,4,**
59226,5,30
59226,6,**
,,
59230,,2320
59230,1,900
59230,2,550
59230,3,320
59230,4,230
59230,5,260
59230,6,60
,,
59241,,170
59241,1,70
59241,2,40
59241,3,30
59241,4,30
59241,5,**
59241,6,**
,,
59243,,160
59243,1,50
59243,2,30
59243,3,40
59243,4,20
59243,5,20
59243,6,**
,,
59247,,200
59247,1,80
59247,2,50
59247,3,30
59247,4,40
59247,5,**
59247,6,**
,,
59248,,300
59248,1,110
59248,2,80
59248,3,60
59248,4,30
59248,5,20
59248,6,**
,,
59254,,1090
59254,1,380
59254,2,270
59254,3,150
59254,4,120
59254,5,140
59254,6,30
,,
59255,,1140
59255,1,550
59255,2,310
59255,3,150
59255,4,60
59255,5,70
59255,6,**
,,
59259,,180
59259,1,60
59259,2,50
59259,3,30
59259,4,20
59259,5,20
59259,6,**
,,
59261,,200
59261,1,70
59261,2,70
59261,3,30
59261,4,30
59261,5,**
59261,6,**
,,
59262,,320
59262,1,110
59262,2,70
59262,3,60
59262,4,30
59262,5,50
59262,6,**
,,
59263,,660
59263,1,180
59263,2,180
59263,3,100
59263,4,90
59263,5,90
59263,6,20
,,
59270,,4090
59270,1,1170
59270,2,900
59270,3,650
59270,4,480
59270,5,720
59270,6,170
,,
59275,,160
59275,1,50
59275,2,40
59275,3,30
59275,4,20
59275,5,20
59275,6,0
,,
59301,,5240
59301,1,1930
59301,2,1400
59301,3,780
59301,4,490
59301,5,540
59301,6,100
,,
59313,,1140
59313,1,370
59313,2,210
59313,3,150
59313,4,160
59313,5,210
59313,6,40
,,
59317,,550
59317,1,190
59317,2,140
59317,3,100
59317,4,50
59317,5,70
59317,6,**
,,
59324,,380
59324,1,140
59324,2,100
59324,3,60
59324,4,40
59324,5,40
59324,6,**
,,
59326,,120
59326,1,50
59326,2,30
59326,3,40
59326,4,**
59326,5,**
59326,6,**
,,
59327,,1260
59327,1,470
59327,2,270
59327,3,180
59327,4,150
59327,5,170
59327,6,20
,,
59330,,3660
