27006,,6780
27006,1,1850
27006,2,1230
27006,3,960
27006,4,800
27006,5,1360
27006,6,580
,,
27007,,890
27007,1,340
27007,2,200
27007,3,160
27007,4,90
27007,5,100
27007,6,**
,,
27009,,1340
27009,1,390
27009,2,320
27009,3,230
27009,4,150
27009,5,200
27009,6,50
,,
27011,,2320
27011,1,940
27011,2,660
27011,3,350
27011,4,190
27011,5,150
27011,6,30
,,
27012,,13340
27012,1,3890
27012,2,2560
27012,3,1790
27012,4,1490
27012,5,2710
27012,6,900
,,
27013,,2760
27013,1,1180
27013,2,710
27013,3,430
27013,4,210
27013,5,200
27013,6,30
,,
27016,,710
27016,1,270
27016,2,180
27016,3,120
27016,4,70
27016,5,70
27016,6,**
,,
27017,,3530
27017,1,1540
27017,2,970
27017,3,480
27017,4,270
27017,5,230
27017,6,40
,,
27018,,3290
27018,1,1160
27018,2,890
27018,3,480
27018,4,340
27018,5,360
27018,6,60
,,
27019,,1860
27019,1,660
27019,2,510
27019,3,310
27019,4,180
27019,5,170
27019,6,30
,,
27020,,2620
27020,1,1110
27020,2,710
27020,3,370
27020,4,210
27020,5,190
27020,6,30
,,
27021,,7750
27021,1,2830
27021,2,1960
27021,3,1230
27021,4,830
27021,5,790
27021,6,110
,,
27022,,600
27022,1,250
27022,2,160
27022,3,100
27022,4,50
27022,5,40
27022,6,**
,,
27023,,5960
27023,1,1660
27023,2,1040
27023,3,830
27023,4,660
27023,5,1180
27023,6,590
,,
27024,,990
27024,1,460
27024,2,260
27024,3,130
27024,4,60
27024,5,80
27024,6,**
,,
27025,,4630
27025,1,1760
27025,2,1330
27025,3,700
27025,4,380
27025,5,400
27025,6,60
,,
27027,,1740
27027,1,790
27027,2,500
27027,3,220
27027,4,120
27027,5,110
27027,6,**
,,
27028,,11420
27028,1,4580
27028,2,3040
27028,3,1600
27028,4,990
27028,5,1000
27028,6,210
,,
27030,,15100
27030,1,6830
27030,2,4000
27030,3,1970
27030,4,1060
27030,5,990
27030,6,250
,,
27040,,5470
27040,1,1640
27040,2,1150
27040,3,880
27040,4,660
27040,5,920
27040,6,220
,,
27041,,3310
27041,1,1270
27041,2,790
27041,3,510
27041,4,310
27041,5,350
27041,6,80
,,
27042,,310
27042,1,110
27042,2,90
27042,3,50
27042,4,30
27042,5,30
27042,6,**
,,
27043,,2650
27043,1,1010
27043,2,660
27043,3,410
27043,4,260
27043,5,270
27043,6,40
,,
27045,,4280
27045,1,1510
27045,2,1170
27045,3,670
27045,4,450
27045,5,410
27045,6,70
,,
27046,,830
27046,1,320
27046,2,240
27046,3,120
27046,4,80
27046,5,70
27046,6,**
,,
27047,,470
27047,1,180
27047,2,110
27047,3,80
27047,4,60
27047,5,40
27047,6,**
,,
27048,,3340
27048,1,1270
27048,2,970
27048,3,470
27048,4,280
27048,5,320
27048,6,30
,,
27050,,1840
27050,1,600
27050,2,490
27050,3,310
27050,4,200
27050,5,200
27050,6,40
,,
27051,,3670
27051,1,1390
27051,2,1030
27051,3,560
27051,4,350
27051,5,300
27051,6,40
,,
27052,,4430
27052,1,1750
27052,2,1190
27052,3,650
27052,4,460
27052,5,330
27052,6,50
,,
27053,,1270
27053,1,510
27053,2,320
27053,3,200
27053,4,120
27053,5,120
27053,6,**
,,
27054,,1200
27054,1,490
27054,2,350
27054,3,190
27054,4,80
27054,5,90
27054,6,**
,,
27055,,6020
27055,1,2270
27055,2,1660
27055,3,890
27055,4,550
27055,5,550
27055,6,100
,,
27101,,8580
27101,1,4050
27101,2,2220
27101,3,970
27101,4,490
27101,5,590
27101,6,260
,,
27103,,17320
27103,1,6340
27103,2,4720
27103,3,2660
27103,4,1490
27103,5,1720
27103,6,390
,,
27104,,14580
27104,1,4600
27104,2,3250
27104,3,1700
27104,4,1140
27104,5,2090
27104,6,1800
,,
27105,,16430
27105,1,9670
27105,2,4380
27105,3,1360
27105,4,560
27105,5,420
27105,6,40
,,
27106,,21140
27106,1,8000
27106,2,4850
27106,3,2400
27106,4,1580
27106,5,2670
27106,6,1640
,,
27107,,20770
27107,1,9160
27107,2,5610
27107,3,2590
27107,4,1580
27107,5,1600
27107,6,230
,,
27127,,17620
27127,1,6980
27127,2,5100
27127,3,2660
27127,4,1440
27127,5,1290
27127,6,150
,,
27203,,8640
27203,1,4450
27203,2,2650
27203,3,830
27203,4,340
27203,5,310
27203,6,60
,,
27205,,14160
27205,1,5610
27205,2,3690
27205,3,1990
27205,4,1270
27205,5,1230
27205,6,370
,,
27207,,1530
27207,1,600
27207,2,420
27207,3,220
27207,4,130
27207,5,130
27207,6,30
,,
27208,,710
27208,1,270
27208,2,190
27208,3,120
27208,4,60
27208,5,70
27208,6,**
,,
27209,,1780
27209,1,860
27209,2,590
27209,3,170
27209,4,70
27209,5,90
27209,6,**
,,
27212,,660
27212,1,270
27212,2,180
27212,3,100
27212,4,50
27212,5,60
27212,6,**
,,
27214,,5310
27214,1,1830
27214,2,1360
27214,3,730
27214,4,530
27214,5,720
27214,6,140
,,
27215,,19340
27215,1,7120
27215,2,5060
27215,3,2610
27215,4,1650
27215,5,2230
27215,6,670
,,
27217,,15900
27217,1,7740
27217,2,4780
27217,3,1730
27217,4,820
27217,5,730
27217,6,100
,,
27229,,1770
27229,1,930
27229,2,550
27229,3,180
27229,4,60
27229,5,50
27229,6,**
,,
27231,,950
27231,1,360
27231,2,240
27231,3,130
27231,4,90
27231,5,130
27231,6,**
,,
27233,,1540
27233,1,530
27233,2,400
27233,3,240
27233,4,160
27233,5,180
27233,6,30
,,
27235,,2220
27235,1,530
27235,2,400
27235,3,300
27235,4,290
27235,5,550
27235,6,150
,,
27239,,3740
27239,1,1510
27239,2,1000
27239,3,540
27239,4,330
27239,5,300
27239,6,60
,,
27242,,800
27242,1,410
27242,2,220
27242,3,80
27242,4,50
27242,5,40
27242,6,**
,,
27243,,2190
27243,1,680
27243,2,530
27243,3,310
27243,4,210
27243,5,360
27243,6,100
,,
27244,,4870
27244,1,1650
27244,2,1130
27244,3,690
27244,4,490
27244,5,700
27244,6,210
,,
27248,,1860
27248,1,760
27248,2,540
27248,3,280
27248,4,170
27248,5,110
27248,6,**
,,
27249,,5790
27249,1,1940
27249,2,1570
27249,3,930
27249,4,600
27249,5,660
27249,6,90
,,
27252,,750
27252,1,270
27252,2,230
27252,3,100
27252,4,60
27252,5,90
27252,6,**
,,
27253,,13750
27253,1,5480
27253,2,3730
27253,3,1980
27253,4,1200
27253,5,1200
27253,6,160
,,
27258,,3090
27258,1,1150
27258,2,820
27258,3,470
27258,4,290
27258,5,320
27258,6,40
,,
27260,,9740
27260,1,6280
27260,2,2460
27260,3,620
27260,4,200
27260,5,140
27260,6,40
,,
27262,,10240
27262,1,4700
27262,2,2660
27262,3,980
27262,4,610
27262,5,820
27262,6,470
,,
27263,,9420
27263,1,4090
27263,2,2690
27263,3,1170
27263,4,730
27263,5,660
27263,6,80
,,
27265,,23600
27265,1,7950
27265,2,5930
27265,3,3510
27265,4,2280
27265,5,3140
27265,6,790
,,
27278,,12300
27278,1,3760
27278,2,2530
27278,3,1620
27278,4,1200
27278,5,2340
27278,6,850
,,
27281,,1140
27281,1,410
27281,2,280
27281,3,150
27281,4,120
27281,5,150
27281,6,30
,,
27282,,7520
27282,1,2200
27282,2,1620
27282,3,1130
27282,4,890
27282,5,1330
27282,6,350
,,
27283,,1530
27283,1,520
27283,2,380
27283,3,250
27283,4,160
27283,5,190
27283,6,30
,,
27284,,24750
27284,1,8100
27284,2,5820
27284,3,3680
27284,4,2660
27284,5,3690
27284,6,800
,,
27288,,9300
27288,1,4310
27288,2,2640
27288,3,1100
27288,4,610
27288,5,550
27288,6,90
,,
27291,,650
27291,1,230
27291,2,190
27291,3,100
27291,4,60
27291,5,70
27291,6,**
,,
27292,,15910
27292,1,6960
27292,2,4380
27292,3,2100
27292,4,1140
27292,5,1110
27292,6,220
,,
27295,,16400
27295,1,6250
27295,2,4380
27295,3,2340
27295,4,1540
27295,5,1640
27295,6,250
,,
27298,,4540
27298,1,1750
27298,2,1260
27298,3,680
27298,4,410
27298,5,380
27298,6,60
,,
27299,,2150
27299,1,880
27299,2,660
27299,3,300
27299,4,160
27299,5,150
27299,6,**
,,
27301,,4590
27301,1,1430
27301,2,1260
27301,3,800
27301,4,560
27301,5,490
27301,6,50
,,
27302,,14110
27302,1,4830
27302,2,3550
27302,3,2200
27302,4,1480
27302,5,1760
27302,6,290
,,
27305,,660
27305,1,300
27305,2,200
27305,3,90
27305,4,30
27305,5,40
27305,6,**
,,
27306,,2550
27306,1,1080
27306,2,730
27306,3,320
27306,4,180
27306,5,190
27306,6,50
,,
27310,,3580
27310,1,910
27310,2,460
27310,3,320
27310,4,360
27310,5,1000
27310,6,530
,,
27311,,1330
27311,1,600
27311,2,370
27311,3,190
27311,4,80
27311,5,90
27311,6,**
,,
27312,,10010
27312,1,2750
27312,2,1830
27312,3,1350
27312,4,1130
27312,5,2210
27312,6,740
,,
27313,,3150
27313,1,1060
27313,2,780
27313,3,480
27313,4,350
27313,5,420
27313,6,60
,,
27314,,440
27314,1,160
27314,2,120
27314,3,60
27314,4,50
27314,5,50
27314,6,**
,,
27315,,850
27315,1,300
27315,2,250
27315,3,130
27315,4,80
27315,5,90
27315,6,**
,,
27316,,2830
27316,1,1290
27316,2,810
27316,3,380
27316,4,190
27316,5,140
27316,6,20
,,
27317,,7360
27317,1,2900
27317,2,2070
27317,3,1080
27317,4,660
27317,5,580
27317,6,70
,,
27320,,16160
27320,1,6640
27320,2,4410
27320,3,2210
27320,4,1360
27320,5,1360
27320,6,180
,,
27325,,2520
27325,1,1130
27325,2,770
27325,3,290
27325,4,180
27325,5,150
27325,6,**
,,
27326,,1550
27326,1,640
27326,2,410
27326,3,210
27326,4,140
27326,5,150
27326,6,**
,,
27330,,16400
27330,1,6710
27330,2,4300
27330,3,2060
27330,4,1370
27330,5,1600
27330,6,360
,,
27332,,13060
27332,1,4870
27332,2,3460
27332,3,1990
27332,4,1220
27332,5,1360
27332,6,160
,,
27341,,2210
27341,1,900
27341,2,650
27341,3,350
27341,4,190
27341,5,120
27341,6,**
,,
27343,,680
27343,1,240
27343,2,170
27343,3,100
27343,4,60
27343,5,80
27343,6,30
,,
27344,,7560
27344,1,3360
27344,2,2350
27344,3,840
27344,4,460
27344,5,440
27344,6,110
,,
27349,,2640
27349,1,910
27349,2,720
27349,3,440
27349,4,290
27349,5,250
27349,6,30
,,
27350,,2710
27350,1,1020
27350,2,740
27350,3,430
27350,4,270
27350,5,230
27350,6,20
,,
27355,,1110
27355,1,490
27355,2,320
27355,3,150
27355,4,80
27355,5,70
27355,6,**
,,
27356,,1170
27356,1,500
27356,2,370
27356,3,150
27356,4,80
27356,5,70
27356,6,**
,,
27357,,3830
27357,1,1160
27357,2,920
27357,3,580
27357,4,430
27357,5,630
27357,6,110
,,
27358,,6330
27358,1,1820
27358,2,910
