58004,,110
58004,1,30
58004,2,30
58004,3,30
58004,4,**
58004,5,20
58004,6,**
,,
58005,,330
58005,1,60
58005,2,60
58005,3,40
58005,4,40
58005,5,100
58005,6,30
,,
58006,,210
58006,1,60
58006,2,50
58006,3,40
58006,4,30
58006,5,30
58006,6,**
,,
58008,,120
58008,1,30
58008,2,30
58008,3,30
58008,4,**
58008,5,30
58008,6,**
,,
58011,,220
58011,1,50
58011,2,40
58011,3,40
58011,4,40
58011,5,50
58011,6,**
,,
58012,,1190
58012,1,320
58012,2,230
58012,3,190
58012,4,170
58012,5,220
58012,6,60
,,
58015,,170
58015,1,50
58015,2,30
58015,3,30
58015,4,20
58015,5,40
58015,6,**
,,
58017,,120
58017,1,30
58017,2,30
58017,3,40
58017,4,**
58017,5,20
58017,6,**
,,
58018,,170
58018,1,30
58018,2,30
58018,3,30
58018,4,30
58018,5,50
58018,6,**
,,
58021,,220
58021,1,40
58021,2,50
58021,3,50
58021,4,30
58021,5,50
58021,6,**
,,
58027,,670
58027,1,210
58027,2,170
58027,3,110
58027,4,90
58027,5,90
58027,6,**
,,
58030,,320
58030,1,90
58030,2,80
58030,3,60
58030,4,40
58030,5,50
58030,6,**
,,
58031,,190
58031,1,50
58031,2,50
58031,3,50
58031,4,40
58031,5,**
58031,6,**
,,
58032,,350
58032,1,90
58032,2,100
58032,3,60
58032,4,50
58032,5,50
58032,6,**
,,
58033,,180
58033,1,50
58033,2,50
58033,3,20
58033,4,20
58033,5,40
58033,6,**
,,
58035,,130
58035,1,30
58035,2,40
58035,3,40
58035,4,**
58035,5,20
58035,6,**
,,
58036,,130
58036,1,30
58036,2,20
58036,3,30
58036,4,30
58036,5,20
58036,6,**
,,
58038,,170
58038,1,30
58038,2,60
58038,3,30
58038,4,20
58038,5,30
58038,6,**
,,
58040,,530
58040,1,150
58040,2,140
58040,3,90
58040,4,80
58040,5,70
58040,6,**
,,
58041,,730
58041,1,240
58041,2,170
58041,3,130
58041,4,90
58041,5,100
58041,6,**
,,
58042,,740
58042,1,190
58042,2,120
58042,3,110
58042,4,110
58042,5,170
58042,6,40
,,
58045,,1070
58045,1,280
58045,2,260
58045,3,170
58045,4,130
58045,5,180
58045,6,50
,,
58046,,260
58046,1,60
58046,2,60
58046,3,50
58046,4,30
58046,5,60
58046,6,**
,,
58047,,1780
58047,1,430
58047,2,300
58047,3,230
58047,4,220
58047,5,410
58047,6,190
,,
58048,,260
58048,1,70
58048,2,50
58048,3,60
58048,4,30
58048,5,50
58048,6,**
,,
58049,,140
58049,1,50
58049,2,30
58049,3,40
58049,4,**
58049,5,20
58049,6,**
,,
58051,,750
58051,1,160
58051,2,130
58051,3,140
58051,4,100
58051,5,180
58051,6,40
,,
58052,,300
58052,1,80
58052,2,70
58052,3,60
58052,4,30
58052,5,60
58052,6,**
,,
58053,,540
58053,1,180
58053,2,150
58053,3,100
58053,4,50
58053,5,60
58053,6,**
,,
58054,,1560
58054,1,470
58054,2,350
58054,3,290
58054,4,220
58054,5,200
58054,6,30
,,
58059,,730
58059,1,160
58059,2,180
58059,3,120
58059,4,100
58059,5,170
58059,6,**
,,
58060,,600
58060,1,150
58060,2,150
58060,3,110
58060,4,80
58060,5,110
58060,6,**
,,
58061,,220
58061,1,60
58061,2,50
58061,3,40
58061,4,30
58061,5,40
58061,6,**
,,
58063,,150
58063,1,50
58063,2,30
58063,3,40
58063,4,**
58063,5,30
58063,6,**
,,
58064,,200
58064,1,50
58064,2,50
58064,3,30
58064,4,20
58064,5,50
58064,6,**
,,
58067,,120
58067,1,30
58067,2,30
58067,3,40
58067,4,**
58067,5,20
58067,6,**
,,
58068,,150
58068,1,50
58068,2,30
58068,3,30
58068,4,40
58068,5,**
58068,6,**
,,
58071,,200
58071,1,50
58071,2,50
58071,3,30
58071,4,30
58071,5,40
58071,6,**
,,
58072,,3680
58072,1,1260
58072,2,880
58072,3,560
58072,4,390
58072,5,480
58072,6,110
,,
58075,,4010
58075,1,1230
58075,2,1100
58075,3,610
58075,4,480
58075,5,480
58075,6,110
,,
58077,,370
58077,1,90
58077,2,80
58077,3,50
58077,4,50
58077,5,100
58077,6,**
,,
58078,,17540
58078,1,4450
58078,2,4530
58078,3,2540
58078,4,2130
58078,5,3010
58078,6,880
,,
58079,,270
58079,1,70
58079,2,60
58079,3,50
58079,4,30
58079,5,60
58079,6,**
,,
58081,,410
58081,1,100
58081,2,90
58081,3,80
58081,4,70
58081,5,70
58081,6,**
,,
58102,,13650
58102,1,4930
58102,2,3630
58102,3,1800
58102,4,1210
58102,5,1570
58102,6,510
,,
58103,,24520
58103,1,8700
58103,2,8180
58103,3,3270
58103,4,1800
58103,5,1900
58103,6,670
,,
58104,,20870
58104,1,5460
58104,2,5440
58104,3,3080
58104,4,2120
58104,5,3370
58104,6,1400
,,
58201,,19740
58201,1,6420
58201,2,5190
58201,3,2730
58201,4,1820
58201,5,2670
58201,6,910
,,
58203,,6900
58203,1,2670
58203,2,2100
58203,3,910
58203,4,610
58203,5,540
58203,6,70
,,
58204,,500
58204,1,90
58204,2,220
58204,3,110
58204,4,50
58204,5,30
58204,6,0
,,
58210,,160
58210,1,50
58210,2,40
58210,3,20
58210,4,20
58210,5,30
58210,6,**
,,
58212,,210
58212,1,70
58212,2,60
58212,3,30
58212,4,30
58212,5,20
58212,6,**
,,
58214,,200
58214,1,60
58214,2,50
58214,3,30
58214,4,30
58214,5,30
58214,6,**
,,
58218,,360
58218,1,80
58218,2,90
58218,3,60
58218,4,50
58218,5,80
58218,6,**
,,
58220,,1100
58220,1,310
58220,2,270
58220,3,190
58220,4,140
58220,5,160
58220,6,30
,,
58222,,130
58222,1,40
58222,2,60
58222,3,**
58222,4,30
58222,5,**
58222,6,**
,,
58223,,100
58223,1,20
58223,2,30
58223,3,30
58223,4,**
58223,5,20
58223,6,**
,,
58225,,480
58225,1,130
58225,2,120
58225,3,90
58225,4,60
58225,5,80
58225,6,**
,,
58227,,240
58227,1,60
58227,2,60
58227,3,40
58227,4,40
58227,5,40
58227,6,**
,,
58228,,470
58228,1,140
58228,2,140
58228,3,90
58228,4,60
58228,5,40
58228,6,**
,,
58230,,300
58230,1,90
58230,2,80
58230,3,40
58230,4,40
58230,5,50
58230,6,**
,,
58231,,180
58231,1,50
58231,2,40
58231,3,30
58231,4,30
58231,5,30
58231,6,**
,,
58233,,180
58233,1,40
58233,2,50
58233,3,40
58233,4,20
58233,5,30
58233,6,**
,,
58235,,200
58235,1,40
58235,2,60
58235,3,40
58235,4,30
58235,5,30
58235,6,**
,,
58237,,2520
58237,1,770
58237,2,810
58237,3,360
58237,4,250
58237,5,280
58237,6,50
,,
58240,,560
58240,1,160
58240,2,140
58240,3,100
58240,4,60
58240,5,100
58240,6,**
,,
58243,,270
58243,1,80
58243,2,50
58243,3,40
58243,4,40
58243,5,40
58243,6,20
,,
58249,,1260
58249,1,380
58249,2,290
58249,3,190
58249,4,160
58249,5,190
58249,6,50
,,
58250,,90
58250,1,30
58250,2,40
58250,3,**
58250,4,20
58250,5,**
58250,6,**
,,
58251,,980
58251,1,300
58251,2,240
58251,3,180
58251,4,120
58251,5,120
58251,6,20
,,
58254,,260
58254,1,90
58254,2,70
58254,3,40
58254,4,20
58254,5,40
58254,6,**
,,
58256,,450
58256,1,120
58256,2,110
58256,3,80
58256,4,60
58256,5,80
58256,6,**
,,
58257,,950
58257,1,290
58257,2,220
58257,3,160
58257,4,110
58257,5,130
58257,6,40
,,
58258,,140
58258,1,40
58258,2,40
58258,3,40
58258,4,**
58258,5,20
58258,6,**
,,
58259,,210
58259,1,70
58259,2,50
58259,3,40
58259,4,30
58259,5,20
58259,6,**
,,
58261,,520
58261,1,150
58261,2,130
58261,3,90
58261,4,80
58261,5,70
58261,6,**
,,
58265,,210
58265,1,50
58265,2,60
58265,3,30
58265,4,30
58265,5,40
58265,6,**
,,
58267,,680
58267,1,180
58267,2,170
58267,3,110
58267,4,80
58267,5,120
58267,6,20
,,
58270,,930
58270,1,290
58270,2,240
58270,3,150
58270,4,100
58270,5,120
58270,6,30
,,
58271,,340
58271,1,80
58271,2,70
58271,3,60
58271,4,60
58271,5,70
58271,6,**
,,
58272,,120
58272,1,50
58272,2,20
58272,3,20
58272,4,30
58272,5,**
58272,6,**
,,
58273,,120
58273,1,40
58273,2,30
58273,3,20
58273,4,30
58273,5,**
58273,6,**
,,
58274,,460
58274,1,110
58274,2,110
58274,3,80
58274,4,80
58274,5,80
58274,6,**
,,
58275,,400
58275,1,110
58275,2,90
