73002,,370
73002,1,150
73002,2,90
73002,3,60
73002,4,30
73002,5,40
73002,6,**
,,
73003,,10120
73003,1,3230
73003,2,2420
73003,3,1520
73003,4,1040
73003,5,1470
73003,6,440
,,
73004,,360
73004,1,110
73004,2,90
73004,3,70
73004,4,40
73004,5,50
73004,6,**
,,
73005,,3250
73005,1,1430
73005,2,930
73005,3,420
73005,4,190
73005,5,240
73005,6,40
,,
73006,,1380
73006,1,550
73006,2,400
73006,3,200
73006,4,130
73006,5,100
73006,6,**
,,
73007,,1100
73007,1,330
73007,2,200
73007,3,110
73007,4,90
73007,5,150
73007,6,220
,,
73008,,8990
73008,1,3700
73008,2,2810
73008,3,1220
73008,4,650
73008,5,520
73008,6,90
,,
73009,,550
73009,1,210
73009,2,150
73009,3,70
73009,4,50
73009,5,70
73009,6,**
,,
73010,,7990
73010,1,2450
73010,2,1800
73010,3,1270
73010,4,950
73010,5,1310
73010,6,210
,,
73011,,120
73011,1,40
73011,2,50
73011,3,**
73011,4,30
73011,5,**
73011,6,**
,,
73012,,15250
73012,1,3590
73012,2,2600
73012,3,2150
73012,4,1900
73012,5,3630
73012,6,1380
,,
73013,,22660
73013,1,5960
73013,2,4240
73013,3,3130
73013,4,2620
73013,5,4560
73013,6,2150
,,
73014,,610
73014,1,190
73014,2,130
73014,3,110
73014,4,50
73014,5,100
73014,6,30
,,
73015,,1000
73015,1,450
73015,2,280
73015,3,130
73015,4,60
73015,5,80
73015,6,**
,,
73016,,750
73016,1,220
73016,2,170
73016,3,100
73016,4,90
73016,5,130
73016,6,40
,,
73017,,620
73017,1,270
73017,2,150
73017,3,100
73017,4,60
73017,5,40
73017,6,**
,,
73018,,7080
73018,1,2980
73018,2,1830
73018,3,950
73018,4,540
73018,5,600
73018,6,180
,,
73020,,10310
73020,1,2790
73020,2,2220
73020,3,1650
73020,4,1310
73020,5,2030
73020,6,310
,,
73021,,130
73021,1,60
73021,2,40
73021,3,**
73021,4,30
73021,5,**
73021,6,**
,,
73024,,250
73024,1,110
73024,2,60
73024,3,60
73024,4,**
73024,5,20
73024,6,**
,,
73025,,5780
73025,1,1380
73025,2,600
73025,3,510
73025,4,520
73025,5,1770
73025,6,1000
,,
73026,,4830
73026,1,1530
73026,2,1000
73026,3,710
73026,4,530
73026,5,840
73026,6,220
,,
73027,,400
73027,1,140
73027,2,120
73027,3,60
73027,4,50
73027,5,30
73027,6,**
,,
73028,,1340
73028,1,500
73028,2,340
73028,3,210
73028,4,140
73028,5,130
73028,6,20
,,
73029,,630
73029,1,240
73029,2,160
73029,3,100
73029,4,70
73029,5,60
73029,6,**
,,
73030,,1940
73030,1,760
73030,2,500
73030,3,280
73030,4,170
73030,5,200
73030,6,30
,,
73034,,18640
73034,1,5740
73034,2,2920
73034,3,1880
73034,4,1620
73034,5,4120
73034,6,2360
,,
73036,,7250
73036,1,2750
73036,2,2030
73036,3,1040
73036,4,590
73036,5,680
73036,6,160
,,
73038,,730
73038,1,310
73038,2,190
73038,3,100
73038,4,70
73038,5,60
73038,6,**
,,
73040,,620
73040,1,260
73040,2,160
73040,3,90
73040,4,40
73040,5,40
73040,6,30
,,
73041,,120
73041,1,50
73041,2,30
73041,3,20
73041,4,20
73041,5,**
73041,6,**
,,
73042,,380
73042,1,150
73042,2,110
73042,3,50
73042,4,30
73042,5,40
73042,6,**
,,
73044,,9440
73044,1,3560
73044,2,2290
73044,3,1410
73044,4,910
73044,5,1070
73044,6,200
,,
73045,,4740
73045,1,1500
73045,2,1210
73045,3,810
73045,4,540
73045,5,600
73045,6,80
,,
73047,,1340
73047,1,490
73047,2,330
73047,3,220
73047,4,120
73047,5,150
73047,6,30
,,
73048,,830
73048,1,270
73048,2,210
73048,3,140
73048,4,80
73048,5,100
73048,6,30
,,
73049,,2710
73049,1,910
73049,2,610
73049,3,400
73049,4,270
73049,5,360
73049,6,160
,,
73051,,2740
73051,1,1170
73051,2,750
73051,3,380
73051,4,220
73051,5,220
73051,6,**
,,
73052,,2400
73052,1,890
73052,2,580
73052,3,360
73052,4,260
73052,5,250
73052,6,60
,,
73053,,270
73053,1,90
73053,2,80
73053,3,50
73053,4,20
73053,5,30
73053,6,**
,,
73054,,1790
73054,1,640
73054,2,450
73054,3,260
73054,4,160
73054,5,220
73054,6,60
,,
73055,,3740
73055,1,1360
73055,2,890
73055,3,550
73055,4,420
73055,5,430
73055,6,90
,,
73056,,180
73056,1,60
73056,2,50
73056,3,30
73056,4,20
73056,5,20
73056,6,**
,,
73057,,870
73057,1,340
73057,2,230
73057,3,140
73057,4,80
73057,5,80
73057,6,**
,,
73058,,130
73058,1,60
73058,2,20
73058,3,20
73058,4,30
73058,5,**
73058,6,**
,,
73059,,1140
73059,1,390
73059,2,300
73059,3,180
73059,4,120
73059,5,130
73059,6,20
,,
73061,,650
73061,1,210
73061,2,160
73061,3,100
73061,4,80
73061,5,100
73061,6,**
,,
73062,,470
73062,1,200
73062,2,140
73062,3,60
73062,4,40
73062,5,30
73062,6,**
,,
73063,,300
73063,1,110
73063,2,70
73063,3,50
73063,4,30
73063,5,40
73063,6,**
,,
73064,,10460
73064,1,2950
73064,2,2410
73064,3,1700
73064,4,1290
73064,5,1780
73064,6,330
,,
73065,,3840
73065,1,1110
73065,2,870
73065,3,590
73065,4,480
73065,5,650
73065,6,140
,,
73067,,730
73067,1,260
73067,2,190
73067,3,110
73067,4,80
73067,5,90
73067,6,**
,,
73068,,4940
73068,1,1820
73068,2,1360
73068,3,800
73068,4,450
73068,5,450
73068,6,60
,,
73069,,10040
73069,1,3870
73069,2,2630
73069,3,1360
73069,4,860
73069,5,1040
73069,6,280
,,
73071,,16680
73071,1,6640
73071,2,4140
73071,3,2320
73071,4,1500
73071,5,1720
73071,6,360
,,
73072,,17780
73072,1,5820
73072,2,3630
73072,3,2170
73072,4,1660
73072,5,3060
73072,6,1440
,,
73073,,260
73073,1,80
73073,2,60
73073,3,50
73073,4,30
73073,5,40
73073,6,**
,,
73074,,450
73074,1,160
73074,2,140
73074,3,60
73074,4,40
73074,5,50
73074,6,**
,,
73075,,3700
73075,1,1500
73075,2,1080
73075,3,480
73075,4,260
73075,5,290
73075,6,90
,,
73077,,2830
73077,1,950
73077,2,740
73077,3,470
73077,4,290
73077,5,330
73077,6,50
,,
73078,,4480
73078,1,1070
73078,2,800
73078,3,660
73078,4,600
73078,5,1090
73078,6,260
,,
73079,,250
73079,1,80
73079,2,70
73079,3,40
73079,4,20
73079,5,40
73079,6,**
,,
73080,,3920
73080,1,1460
73080,2,1000
73080,3,560
73080,4,370
73080,5,430
73080,6,100
,,
73082,,1000
73082,1,410
73082,2,260
73082,3,150
73082,4,90
73082,5,90
73082,6,**
,,
73084,,2850
73084,1,1430
73084,2,920
73084,3,270
73084,4,130
73084,5,100
73084,6,**
,,
73086,,3460
73086,1,1360
73086,2,970
73086,3,490
73086,4,290
73086,5,280
73086,6,70
,,
73089,,5670
73089,1,1580
73089,2,1120
73089,3,850
73089,4,750
73089,5,1170
73089,6,200
,,
73090,,390
73090,1,120
73090,2,100
73090,3,80
73090,4,30
73090,5,60
73090,6,**
,,
73092,,320
73092,1,130
73092,2,80
73092,3,60
73092,4,30
73092,5,20
73092,6,**
,,
73093,,1370
73093,1,380
73093,2,280
73093,3,210
73093,4,160
73093,5,270
73093,6,70
,,
73095,,750
73095,1,260
73095,2,210
73095,3,130
73095,4,80
73095,5,70
73095,6,**
,,
73096,,5350
73096,1,2100
73096,2,1120
73096,3,720
73096,4,540
73096,5,710
73096,6,160
,,
73098,,1580
73098,1,620
73098,2,410
73098,3,230
73098,4,150
73098,5,150
73098,6,20
,,
73099,,32730
73099,1,8910
73099,2,7600
73099,3,5660
73099,4,4360
73099,5,5400
73099,6,800
,,
73102,,970
73102,1,240
73102,2,260
73102,3,170
73102,4,90
73102,5,100
73102,6,110
,,
73103,,2270
73103,1,660
73103,2,680
73103,3,300
73103,4,170
73103,5,260
73103,6,200
,,
73104,,1360
73104,1,400
73104,2,340
73104,3,230
73104,4,120
73104,5,170
73104,6,100
,,
73105,,2570
73105,1,1160
73105,2,790
73105,3,330
73105,4,110
73105,5,130
73105,6,50
,,
73106,,4470
