15001,,16180
15001,1,5960
15001,2,3850
15001,3,2410
15001,4,1600
15001,5,2040
15001,6,320
,,
15003,,5660
15003,1,2340
15003,2,1650
15003,3,820
15003,4,450
15003,5,360
15003,6,40
,,
15005,,5010
15005,1,1590
15005,2,1110
15005,3,740
15005,4,540
15005,5,820
15005,6,210
,,
15007,,200
15007,1,70
15007,2,50
15007,3,30
15007,4,20
15007,5,30
15007,6,**
,,
15009,,7710
15009,1,2600
15009,2,1510
15009,3,1030
15009,4,840
15009,5,1360
15009,6,370
,,
15010,,13310
15010,1,5010
15010,2,3180
15010,3,1900
15010,4,1340
15010,5,1610
15010,6,270
,,
15012,,7890
15012,1,2820
15012,2,1800
15012,3,1220
15012,4,800
15012,5,1070
15012,6,180
,,
15014,,1610
15014,1,680
15014,2,500
15014,3,240
15014,4,120
15014,5,70
15014,6,**
,,
15015,,660
15015,1,160
15015,2,70
15015,3,60
15015,4,70
15015,5,190
15015,6,110
,,
15017,,8390
15017,1,2380
15017,2,1930
15017,3,1320
15017,4,910
15017,5,1330
15017,6,520
,,
15018,,410
15018,1,160
15018,2,120
15018,3,70
15018,4,30
15018,5,30
15018,6,**
,,
15019,,750
15019,1,240
15019,2,190
15019,3,110
15019,4,100
15019,5,110
15019,6,**
,,
15021,,3540
15021,1,1220
15021,2,880
15021,3,570
15021,4,380
15021,5,430
15021,6,60
,,
15022,,4920
15022,1,2000
15022,2,1270
15022,3,700
15022,4,430
15022,5,460
15022,6,60
,,
15024,,4470
15024,1,1470
15024,2,1050
15024,3,650
15024,4,490
15024,5,630
15024,6,180
,,
15025,,7910
15025,1,2870
15025,2,1740
15025,3,1000
15025,4,730
15025,5,1200
15025,6,370
,,
15026,,2010
15026,1,580
15026,2,400
15026,3,300
15026,4,230
15026,5,410
15026,6,90
,,
15027,,1170
15027,1,430
15027,2,280
15027,3,210
15027,4,120
15027,5,130
15027,6,**
,,
15030,,490
15030,1,210
15030,2,150
15030,3,80
15030,4,30
15030,5,20
15030,6,**
,,
15031,,280
15031,1,120
15031,2,80
15031,3,40
15031,4,40
15031,5,**
15031,6,**
,,
15033,,2080
15033,1,1010
15033,2,540
15033,3,270
15033,4,150
15033,5,110
