57001,,680
57001,1,200
57001,2,200
57001,3,120
57001,4,80
57001,5,80
57001,6,**
,,
57002,,590
57002,1,160
57002,2,160
57002,3,120
57002,4,80
57002,5,70
57002,6,**
,,
57003,,980
57003,1,280
57003,2,230
57003,3,150
57003,4,150
57003,5,140
57003,6,30
,,
57004,,1660
57004,1,530
57004,2,380
57004,3,260
57004,4,200
57004,5,230
57004,6,60
,,
57005,,5690
57005,1,1520
57005,2,1210
57005,3,840
57005,4,790
57005,5,1060
57005,6,270
,,
57006,,10010
57006,1,3370
57006,2,2390
57006,3,1390
57006,4,1080
57006,5,1450
57006,6,330
,,
57010,,250
57010,1,80
57010,2,50
57010,3,40
57010,4,30
57010,5,50
57010,6,**
,,
57012,,550
57012,1,180
57012,2,120
57012,3,80
57012,4,70
57012,5,80
57012,6,20
,,
57013,,2190
57013,1,680
57013,2,560
57013,3,370
57013,4,240
57013,5,270
57013,6,70
,,
57014,,680
57014,1,230
57014,2,190
57014,3,110
57014,4,60
57014,5,90
57014,6,**
,,
57015,,400
57015,1,110
57015,2,90
57015,3,60
57015,4,60
57015,5,60
57015,6,20
,,
57016,,340
57016,1,100
57016,2,80
57016,3,40
57016,4,50
57016,5,70
57016,6,**
,,
57017,,620
57017,1,190
57017,2,130
57017,3,100
57017,4,90
57017,5,110
57017,6,**
,,
57018,,680
57018,1,190
57018,2,180
57018,3,110
57018,4,90
57018,5,110
57018,6,**
,,
57020,,760
57020,1,200
57020,2,170
57020,3,110
57020,4,110
57020,5,150
57020,6,20
,,
57021,,130
57021,1,30
57021,2,40
57021,3,30
57021,4,30
57021,5,**
57021,6,**
,,
57022,,2520
57022,1,730
57022,2,570
57022,3,390
57022,4,320
57022,5,420
57022,6,90
,,
57024,,170
57024,1,60
57024,2,50
57024,3,40
57024,4,**
57024,5,20
57024,6,**
,,
57025,,1370
57025,1,410
57025,2,280
57025,3,230
57025,4,160
57025,5,240
57025,6,50
,,
57026,,620
57026,1,180
57026,2,170
57026,3,130
57026,4,70
57026,5,70
57026,6,**
,,
57028,,1530
57028,1,530
57028,2,440
57028,3,250
57028,4,150
57028,5,140
57028,6,20
,,
57029,,1000
57029,1,320
57029,2,260
57029,3,170
57029,4,110
57029,5,110
57029,6,30
,,
57030,,1400
57030,1,420
57030,2,310
57030,3,220
57030,4,170
57030,5,230
57030,6,50
,,
57031,,340
57031,1,100
57031,2,100
57031,3,70
57031,4,40
57031,5,30
57031,6,**
,,
57032,,3480
57032,1,850
57032,2,720
57032,3,600
57032,4,530
57032,5,620
57032,6,160
,,
57033,,2600
57033,1,740
57033,2,550
57033,3,370
57033,4,340
57033,5,500
57033,6,100
,,
57034,,330
57034,1,110
57034,2,70
57034,3,60
57034,4,50
57034,5,40
57034,6,**
,,
57035,,560
57035,1,160
57035,2,120
57035,3,100
57035,4,70
57035,5,90
57035,6,20
,,
57036,,390
57036,1,120
57036,2,90
57036,3,80
57036,4,50
57036,5,50
57036,6,**
,,
57037,,420
57037,1,140
57037,2,130
57037,3,70
57037,4,40
57037,5,40
57037,6,**
,,
57038,,820
57038,1,240
57038,2,140
57038,3,120
57038,4,80
57038,5,150
57038,6,90
,,
57039,,1680
57039,1,500
57039,2,410
57039,3,280
57039,4,220
57039,5,220
57039,6,50
,,
57040,,170
57040,1,60
57040,2,50
57040,3,30
57040,4,30
57040,5,**
57040,6,**
,,
57042,,5250
57042,1,1670
57042,2,1260
57042,3,820
57042,4,620
57042,5,710
57042,6,170
,,
57043,,670
57043,1,220
57043,2,150
57043,3,120
57043,4,80
57043,5,100
57043,6,**
,,
57045,,470
57045,1,150
57045,2,130
57045,3,90
57045,4,50
57045,5,50
57045,6,**
,,
57046,,320
57046,1,100
57046,2,90
57046,3,60
57046,4,30
57046,5,40
57046,6,**
,,
57047,,100
57047,1,40
57047,2,40
57047,3,**
57047,4,20
57047,5,**
57047,6,**
,,
57048,,530
57048,1,170
57048,2,120
57048,3,80
57048,4,60
57048,5,100
57048,6,**
,,
57049,,3590
57049,1,960
57049,2,660
57049,3,470
57049,4,330
57049,5,690
57049,6,480
,,
57051,,120
57051,1,40
57051,2,30
57051,3,30
57051,4,**
57051,5,20
57051,6,**
,,
57052,,130
57052,1,50
57052,2,30
57052,3,20
57052,4,30
57052,5,**
57052,6,**
,,
57053,,940
57053,1,260
57053,2,240
57053,3,180
57053,4,120
57053,5,120
57053,6,20
,,
57054,,230
57054,1,80
57054,2,50
57054,3,50
57054,4,20
57054,5,30
57054,6,**
,,
57055,,570
57055,1,160
57055,2,110
57055,3,80
57055,4,80
57055,5,100
57055,6,40
,,
57058,,930
57058,1,280
57058,2,240
57058,3,150
57058,4,110
57058,5,120
57058,6,30
,,
57059,,560
57059,1,170
57059,2,160
57059,3,100
57059,4,70
57059,5,60
57059,6,**
,,
57062,,560
57062,1,190
57062,2,160
57062,3,100
57062,4,60
57062,5,50
57062,6,**
,,
57063,,420
57063,1,140
57063,2,100
57063,3,80
57063,4,50
57063,5,50
57063,6,**
,,
57064,,2830
57064,1,790
57064,2,650
57064,3,430
57064,4,390
57064,5,490
57064,6,80
,,
57065,,160
57065,1,40
57065,2,60
57065,3,20
57065,4,20
57065,5,20
57065,6,**
,,
57066,,710
57066,1,220
57066,2,230
57066,3,110
57066,4,70
57066,5,60
57066,6,20
,,
57067,,180
57067,1,50
57067,2,60
57067,3,50
57067,4,**
57067,5,20
57067,6,**
,,
57068,,750
57068,1,200
57068,2,210
57068,3,110
57068,4,110
57068,5,100
57068,6,20
,,
57069,,4290
57069,1,1750
57069,2,1000
57069,3,530
57069,4,400
57069,5,490
57069,6,120
,,
57070,,590
57070,1,210
57070,2,150
57070,3,120
57070,4,50
57070,5,60
57070,6,**
,,
57071,,1430
57071,1,420
57071,2,320
57071,3,270
57071,4,190
57071,5,200
57071,6,30
