20105,,10660
20105,1,1720
20105,2,1120
20105,3,1090
20105,4,1100
20105,5,3630
20105,6,2000
,,
20106,,2340
20106,1,620
20106,2,440
20106,3,320
20106,4,280
20106,5,570
20106,6,110
,,
20109,,19200
20109,1,6740
20109,2,5600
20109,3,3270
20109,4,1770
20109,5,1650
20109,6,170
,,
20110,,22180
20110,1,7200
20110,2,5450
20110,3,3300
20110,4,2100
20110,5,3370
20110,6,760
,,
20111,,17260
20111,1,5530
20111,2,4210
20111,3,2670
20111,4,1550
20111,5,2580
20111,6,720
,,
20112,,12800
20112,1,3170
20112,2,1720
20112,3,1250
20112,4,1220
20112,5,3780
20112,6,1660
,,
20115,,2690
20115,1,790
20115,2,500
20115,3,330
20115,4,260
20115,5,590
20115,6,220
,,
20117,,800
20117,1,200
20117,2,130
20117,3,110
20117,4,60
20117,5,140
20117,6,160
,,
20119,,1920
20119,1,570
20119,2,390
20119,3,280
20119,4,220
20119,5,360
20119,6,100
,,
20120,,19900
20120,1,5150
20120,2,3370
20120,3,2610
20120,4,2000
20120,5,4640
20120,6,2130
,,
20121,,13900
20121,1,3900
20121,2,3010
20121,3,2170
20121,4,1570
20121,5,2570
20121,6,680
,,
20124,,6990
20124,1,1540
20124,2,740
20124,3,630
20124,4,490
20124,5,1820
20124,6,1770
,,
20129,,290
20129,1,80
20129,2,30
20129,3,40
20129,4,20
20129,5,50
20129,6,70
,,
20130,,140
20130,1,40
20130,2,30
20130,3,30
20130,4,**
20130,5,40
20130,6,**
,,
20132,,7090
20132,1,1770
20132,2,780
20132,3,590
20132,4,570
20132,5,2070
20132,6,1310
,,
20135,,1350
20135,1,310
20135,2,230
20135,3,190
20135,4,150
20135,5,330
20135,6,140
,,
20136,,13080
20136,1,3020
20136,2,1580
20136,3,1440
20136,4,1390
20136,5,4270
20136,6,1380
,,
20137,,950
20137,1,230
20137,2,140
20137,3,110
20137,4,90
20137,5,250
20137,6,130
,,
20141,,3040
20141,1,690
20141,2,280
20141,3,280
20141,4,280
20141,5,970
20141,6,540
,,
20143,,580
20143,1,150
20143,2,90
20143,3,50
20143,4,50
20143,5,150
20143,6,90
,,
20144,,460
20144,1,100
20144,2,80
20144,3,50
20144,4,40
20144,5,110
20144,6,80
,,
20147,,29580
20147,1,6680
20147,2,4150
20147,3,3540
20147,4,2990
20147,5,7750
20147,6,4470
,,
20148,,21050
20148,1,3470
20148,2,2050
20148,3,1760
20148,4,1740
20148,5,6510
20148,6,5520
,,
20151,,10380
20151,1,3130
20151,2,1880
20151,3,1230
20151,4,790
20151,5,2060
20151,6,1290
,,
20152,,14200
20152,1,2920
20152,2,1600
20152,3,1390
20152,4,1330
20152,5,4380
20152,6,2580
,,
20155,,16060
20155,1,3520
20155,2,2110
20155,3,1910
20155,4,1770
20155,5,4930
20155,6,1820
,,
20158,,1960
20158,1,480
20158,2,210
20158,3,180
20158,4,150
20158,5,510
20158,6,430
,,
20164,,20360
20164,1,6580
20164,2,5240
20164,3,3040
20164,4,1910
20164,5,3010
20164,6,580
,,
20165,,15910
20165,1,3490
20165,2,2160
20165,3,1880
20165,4,1550
20165,5,4330
20165,6,2500
,,
20166,,6070
20166,1,1500
20166,2,1250
20166,3,970
20166,4,700
20166,5,1250
20166,6,400
,,
20169,,11310
20169,1,2280
20169,2,1130
20169,3,1060
20169,4,1020
20169,5,3640
20169,6,2180
,,
20170,,20680
20170,1,6220
20170,2,4210
20170,3,2430
20170,4,1820
20170,5,4000
20170,6,2000
,,
20171,,23300
20171,1,4780
20171,2,3010
20171,3,2510
20171,4,2470
20171,5,6310
20171,6,4220
,,
20175,,14250
20175,1,3480
20175,2,2080
20175,3,1540
20175,4,1180
20175,5,3470
20175,6,2500
,,
20176,,22360
20176,1,5690
20176,2,3570
20176,3,2280
20176,4,1830
20176,5,5190
20176,6,3800
,,
20180,,3520
20180,1,820
20180,2,440
20180,3,360
20180,4,340
20180,5,1090
20180,6,470
,,
20181,,4220
20181,1,1090
20181,2,620
20181,3,520
20181,4,380
20181,5,1100
20181,6,510
,,
20184,,210
20184,1,60
20184,2,40
20184,3,40
20184,4,**
20184,5,30
20184,6,40
,,
20186,,6980
20186,1,1980
20186,2,1320
20186,3,960
20186,4,700
20186,5,1490
20186,6,530
,,
20187,,8120
20187,1,1900
20187,2,1060
20187,3,840
20187,4,820
20187,5,2510
20187,6,990
,,
20190,,10050
20190,1,2090
20190,2,1560
20190,3,1470
20190,4,1250
20190,5,2490
20190,6,1190
,,
20191,,14690
20191,1,3500
20191,2,2520
20191,3,1840
20191,4,1420
20191,5,3590
20191,6,1820
,,
20194,,6750
20194,1,1110
20194,2,780
20194,3,800
20194,4,750
20194,5,1880
20194,6,1430
,,
20197,,1000
20197,1,200
20197,2,110
20197,3,60
20197,4,70
20197,5,250
20197,6,310
,,
20198,,960
20198,1,240
20198,2,210
20198,3,140
20198,4,80
20198,5,160
20198,6,130
,,
22003,,27310
22003,1,8500
22003,2,5510
22003,3,3280
22003,4,2250
22003,5,5120
22003,6,2650
,,
22015,,20680
22015,1,4920
22015,2,3060
22015,3,2460
22015,4,2180
22015,5,5700
22015,6,2360
,,
22025,,8690
22025,1,1920
22025,2,1330
22025,3,1210
22025,4,1100
22025,5,2460
22025,6,670
,,
22026,,8280
22026,1,2710
22026,2,2020
22026,3,1210
22026,4,800
22026,5,1180
22026,6,360
,,
22027,,1030
22027,1,240
22027,2,100
22027,3,70
22027,4,60
22027,5,200
22027,6,360
,,
22030,,25460
22030,1,6420
22030,2,4310
22030,3,3340
22030,4,2540
22030,5,5820
22030,6,3030
,,
22031,,16540
22031,1,4120
22031,2,3040
22031,3,2300
22031,4,1800
22031,5,3430
