98001,,16010
98001,1,4340
98001,2,3840
98001,3,2590
98001,4,1880
98001,5,2770
98001,6,590
,,
98002,,15850
98002,1,5430
98002,2,5200
98002,3,2620
98002,4,1350
98002,5,1140
98002,6,110
,,
98003,,22410
98003,1,7600
98003,2,6900
98003,3,3500
98003,4,1850
98003,5,2120
98003,6,440
,,
98004,,17750
98004,1,3220
98004,2,2300
98004,3,2030
98004,4,1580
98004,5,4290
98004,6,4330
,,
98005,,9580
98005,1,1930
98005,2,1520
98005,3,1230
98005,4,1000
98005,5,2200
98005,6,1700
,,
98006,,18580
98006,1,4200
98006,2,2410
98006,3,1850
98006,4,1590
98006,5,4280
98006,6,4250
,,
98007,,12860
98007,1,2910
98007,2,2470
98007,3,1760
98007,4,1700
98007,5,2930
98007,6,1090
,,
98008,,12330
98008,1,2900
98008,2,1980
98008,3,1420
98008,4,1150
98008,5,2890
98008,6,1990
,,
98010,,2630
98010,1,600
98010,2,460
98010,3,380
98010,4,300
98010,5,620
98010,6,270
,,
98011,,12450
98011,1,2880
98011,2,2450
98011,3,1810
98011,4,1340
98011,5,2690
98011,6,1280
,,
98012,,31130
98012,1,6390
98012,2,5430
98012,3,4150
98012,4,3730
98012,5,8550
98012,6,2880
,,
98014,,3590
98014,1,840
98014,2,600
98014,3,440
98014,4,400
98014,5,810
98014,6,500
,,
98019,,5610
98019,1,1270
98019,2,840
98019,3,630
98019,4,580
98019,5,1560
98019,6,730
,,
98020,,10900
98020,1,2360
98020,2,1830
98020,3,1470
98020,4,1250
98020,5,2470
98020,6,1520
,,
98021,,14280
98021,1,3120
98021,2,2340
98021,3,1740
98021,4,1550
98021,5,3810
98021,6,1720
,,
98022,,10770
98022,1,2930
98022,2,2360
98022,3,1680
98022,4,1180
98022,5,2080
98022,6,540
,,
98023,,23570
98023,1,6860
98023,2,6030
98023,3,3700
98023,4,2530
98023,5,3570
98023,6,880
,,
98024,,2500
98024,1,580
98024,2,440
98024,3,310
98024,4,280
98024,5,510
98024,6,380
,,
98026,,19220
98026,1,4890
98026,2,4050
98026,3,2900
98026,4,2200
98026,5,3850
98026,6,1330
,,
98027,,14290
98027,1,2900
98027,2,2250
98027,3,1860
98027,4,1410
98027,5,3440
98027,6,2430
,,
98028,,11350
98028,1,2690
98028,2,2110
98028,3,1440
98028,4,1060
98028,5,2760
98028,6,1290
,,
98029,,12920
98029,1,2370
98029,2,1640
98029,3,1420
98029,4,1260
98029,5,3600
98029,6,2630
,,
98030,,16910
98030,1,5740
98030,2,5020
98030,3,2510
98030,4,1440
98030,5,1910
98030,6,290
,,
98031,,19630
98031,1,6010
98031,2,5380
98031,3,3000
98031,4,1900
98031,5,2810
98031,6,530
,,
98032,,17280
98032,1,5310
98032,2,5510
98032,3,2850
98032,4,1550
98032,5,1720
98032,6,340
,,
98033,,19500
98033,1,3540
98033,2,2740
98033,3,2170
98033,4,1800
98033,5,4460
98033,6,4790
,,
98034,,25150
98034,1,5670
98034,2,5050
98034,3,3600
98034,4,2650
98034,5,5570
98034,6,2610
,,
98036,,19380
98036,1,5490
98036,2,4640
98036,3,2820
98036,4,2040
98036,5,3570
98036,6,820
,,
98037,,13860
98037,1,4020
98037,2,3580
98037,3,2110
98037,4,1420
98037,5,2260
98037,6,470
,,
98038,,15490
98038,1,3360
98038,2,2290
98038,3,2030
98038,4,1950
98038,5,4500
98038,6,1360
,,
98039,,1540
98039,1,330
98039,2,130
98039,3,120
98039,4,100
98039,5,240
98039,6,620
,,
98040,,12370
98040,1,2510
98040,2,1350
98040,3,1150
98040,4,980
98040,5,2460
98040,6,3920
,,
98042,,22810
98042,1,5780
98042,2,4700
98042,3,3460
98042,4,2780
98042,5,4860
98042,6,1230
,,
98043,,10970
98043,1,3040
98043,2,3040
98043,3,2000
98043,4,1260
98043,5,1450
98043,6,180
,,
98045,,7390
98045,1,1700
98045,2,1230
98045,3,970
98045,4,760
98045,5,1920
98045,6,810
,,
98047,,3110
98047,1,990
98047,2,940
98047,3,520
98047,4,330
98047,5,310
98047,6,20
,,
98051,,1860
98051,1,460
98051,2,330
98051,3,240
98051,4,220
98051,5,410
98051,6,200
,,
98052,,31640
98052,1,5780
98052,2,4280
98052,3,3410
98052,4,3080
98052,5,8500
98052,6,6590
,,
98053,,9840
98053,1,1840
98053,2,1110
98053,3,920
98053,4,840
98053,5,2390
98053,6,2740
,,
98055,,11960
98055,1,3140
98055,2,3210
98055,3,2160
98055,4,1360
98055,5,1810
98055,6,280
,,
98056,,17510
98056,1,4380
98056,2,4150
98056,3,2710
98056,4,1830
98056,5,3170
98056,6,1270
,,
98057,,7330
98057,1,2140
98057,2,2220
98057,3,1270
98057,4,700
98057,5,810
98057,6,190
,,
98058,,21070
98058,1,5350
98058,2,4740
98058,3,3160
98058,4,2440
98058,5,4340
98058,6,1040
,,
98059,,18430
98059,1,4310
98059,2,3340
98059,3,2390
98059,4,1960
98059,5,4250
98059,6,2180
,,
98065,,6470
98065,1,1110
98065,2,800
98065,3,600
98065,4,590
98065,5,2000
98065,6,1370
,,
98070,,5420
98070,1,1510
98070,2,960
98070,3,680
98070,4,580
98070,5,1160
98070,6,530
,,
98072,,12290
98072,1,2680
98072,2,1970
98072,3,1420
98072,4,1100
98072,5,2950
98072,6,2170
,,
98074,,11950
98074,1,2230
98074,2,1060
98074,3,880
98074,4,790
98074,5,3140
98074,6,3850
,,
98075,,10010
98075,1,2040
98075,2,760
98075,3,680
98075,4,590
98075,5,2280
98075,6,3660
,,
98077,,6170
98077,1,1400
98077,2,670
98077,3,490
98077,4,420
98077,5,1480
98077,6,1710
,,
98087,,17670
98087,1,4770
98087,2,4860
98087,3,2900
98087,4,2020
98087,5,2710
98087,6,410
,,
98092,,21250
98092,1,5550
98092,2,4590
98092,3,3230
98092,4,2430
98092,5,4400
98092,6,1050
,,
98101,,8440
98101,1,1410
98101,2,1600
98101,3,1160
98101,4,860
98101,5,2080
98101,6,1330
,,
98102,,16440
98102,1,2780
98102,2,4060
98102,3,3020
98102,4,1830
98102,5,3080
98102,6,1670
,,
98103,,29390
98103,1,5480
98103,2,6700
98103,3,4820
98103,4,3160
98103,5,5750
98103,6,3480
,,
98104,,6860
98104,1,2100
98104,2,1750
98104,3,910
98104,4,590
98104,5,980
98104,6,530
,,
98105,,16930
98105,1,5960
98105,2,3610
98105,3,1690
98105,4,1020
98105,5,2200
98105,6,2450
,,
98106,,12920
98106,1,3580
98106,2,3630
98106,3,2130
98106,4,1380
98106,5,1880
98106,6,320
,,
98107,,16520
98107,1,2820
98107,2,3750
98107,3,2920
98107,4,1860
98107,5,3560
98107,6,1610
,,
98108,,12160
98108,1,3840
98108,2,3720
98108,3,1820
98108,4,970
98108,5,1400
98108,6,410
,,
98109,,17030
98109,1,2340
98109,2,3320
98109,3,2870
98109,4,2090
98109,5,4210
98109,6,2200
,,
98110,,11830
98110,1,2730
98110,2,1540
98110,3,1230
98110,4,1060
98110,5,2870
98110,6,2400
,,
98112,,12350
98112,1,2400
98112,2,2110
98112,3,1640
98112,4,1020
98112,5,2230
98112,6,2950
,,
98115,,26740
98115,1,5600
98115,2,5050
98115,3,3610
98115,4,2520
98115,5,5780
98115,6,4180
,,
98116,,14900
98116,1,2620
98116,2,2780
98116,3,2340
98116,4,1710
98116,5,3500
98116,6,1950
,,
98117,,18170
98117,1,3360
98117,2,3440
98117,3,2430
98117,4,1850
98117,5,4480
98117,6,2610
,,
98118,,23680
98118,1,7390
98118,2,6490
98118,3,3420
98118,4,2060
98118,5,3090
98118,6,1230
,,
98119,,12910
98119,1,2130
98119,2,2770
98119,3,2160
98119,4,1390
98119,5,2550
98119,6,1910
,,
98121,,10410
98121,1,1480
98121,2,1600
98121,3,1290
98121,4,1180
98121,5,3230
98121,6,1630
,,
98122,,22390
98122,1,5050
98122,2,5710
98122,3,3550
98122,4,2100
98122,5,3900
98122,6,2080
,,
98125,,20980
98125,1,5590
98125,2,5430
98125,3,3140
98125,4,2070
98125,5,3460
98125,6,1290
,,
98126,,11410
98126,1,2510
98126,2,2450
98126,3,1830
98126,4,1300
98126,5,2390
98126,6,930
