24701,,7770
24701,1,3790
24701,2,1960
24701,3,1000
24701,4,480
24701,5,450
24701,6,90
,,
24712,,770
24712,1,290
24712,2,190
24712,3,130
24712,4,80
24712,5,80
24712,6,**
,,
24715,,180
24715,1,90
24715,2,50
24715,3,40
24715,4,**
24715,5,**
24715,6,**
,,
24726,,140
24726,1,60
24726,2,50
24726,3,**
24726,4,30
24726,5,**
24726,6,**
,,
24731,,160
24731,1,80
24731,2,40
24731,3,20
24731,4,20
24731,5,**
24731,6,**
,,
24733,,360
24733,1,170
24733,2,100
24733,3,50
24733,4,40
24733,5,**
24733,6,**
,,
24736,,230
24736,1,130
24736,2,50
24736,3,50
24736,4,**
24736,5,**
24736,6,0
,,
24740,,6810
24740,1,3200
24740,2,1720
24740,3,850
24740,4,470
24740,5,440
24740,6,130
,,
24747,,860
24747,1,430
24747,2,210
24747,3,120
24747,4,50
24747,5,50
24747,6,**
,,
24801,,1210
24801,1,580
24801,2,300
24801,3,160
24801,4,100
24801,5,70
24801,6,**
,,
24808,,140
24808,1,60
24808,2,40
24808,3,40
24808,4,**
24808,5,**
24808,6,**
,,
24815,,100
24815,1,60
24815,2,40
24815,3,**
24815,4,**
24815,5,0
24815,6,0
,,
24818,,310
24818,1,150
24818,2,70
24818,3,50
24818,4,40
24818,5,**
24818,6,0
,,
24822,,220
24822,1,100
24822,2,50
24822,3,30
24822,4,40
24822,5,**
24822,6,**
,,
24823,,100
24823,1,50
24823,2,20
24823,3,30
24823,4,**
24823,5,**
24823,6,0
,,
24827,,340
24827,1,170
24827,2,80
24827,3,40
24827,4,50
24827,5,**
24827,6,0
,,
24828,,210
24828,1,110
24828,2,50
24828,3,50
24828,4,**
24828,5,**
24828,6,0
,,
24839,,300
24839,1,140
24839,2,70
24839,3,50
24839,4,40
24839,5,**
24839,6,0
,,
24844,,540
24844,1,240
24844,2,160
24844,3,60
24844,4,40
24844,5,40
24844,6,**
,,
24850,,240
24850,1,120
24850,2,70
24850,3,30
24850,4,20
24850,5,**
24850,6,0
,,
24860,,160
24860,1,70
24860,2,40
24860,3,30
24860,4,20
24860,5,**
24860,6,**
,,
24868,,380
24868,1,200
24868,2,100
24868,3,40
24868,4,40
24868,5,**
24868,6,**
,,
24870,,1250
24870,1,570
24870,2,280
24870,3,170
24870,4,120
24870,5,110
24870,6,**
,,
24872,,210
24872,1,120
24872,2,50
24872,3,20
24872,4,20
24872,5,**
24872,6,**
,,
24873,,150
24873,1,80
24873,2,50
24873,3,**
24873,4,20
24873,5,**
24873,6,0
,,
24874,,1100
24874,1,440
24874,2,260
24874,3,180
24874,4,100
24874,5,100
24874,6,20
,,
24879,,130
24879,1,70
24879,2,60
24879,3,**
24879,4,**
24879,5,**
24879,6,0
,,
24880,,100
24880,1,60
24880,2,20
24880,3,20
24880,4,**
24880,5,**
24880,6,**
,,
24882,,140
24882,1,80
24882,2,30
24882,3,30
24882,4,**
24882,5,**
24882,6,0
,,
24892,,380
24892,1,210
24892,2,100
24892,3,40
24892,4,30
24892,5,**
24892,6,0
,,
24901,,4260
24901,1,1670
24901,2,980
24901,3,600
24901,4,390
24901,5,440
24901,6,180
,,
24910,,1530
24910,1,700
24910,2,400
